id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.provenance[en],dc.description.sponsorship[],dc.description[],dc.identifier.isbn[],dc.identifier.uri,dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[],dc.title[],dc.title[en_US],dc.type[]
"95bfaa36-5a57-449f-a4dd-a4eb97e272dd","108/19","NASA-STD-(I)-5009","2021-05-11T05:21:05Z","2016-12-07T10:09:12Z","2021-05-11T05:21:05Z","2016-12-07T10:09:12Z","2006","Made available in DSpace on 2016-12-07T10:09:12Z (GMT). No. of bitstreams: 1
nasa-std-(i)-5009.pdf: 116935 bytes, checksum: 37a58504d4004f515190e0ccfd3e55bf (MD5)
  Previous issue date: 2006||Made available in DSpace on 2021-05-11T05:21:05Z (GMT). No. of bitstreams: 1
nasa-std-(i)-5009.pdf: 116935 bytes, checksum: 37a58504d4004f515190e0ccfd3e55bf (MD5)
  Previous issue date: 2006",,,,"http://localhost:8080/xmlui/handle/108/64371",,,,,,"NONDESTRUCTIVE EVALUATION REQUIREMENTS FOR  FRACTURE CRITICAL METALLIC COMPONENTS",,
"35faa14b-a5b5-4f49-ab5c-437bf610c48d","108/19","MMDH Section 12 : Titanium Alloys : TA24","2021-05-11T05:21:05Z","2017-08-17T05:13:52Z","2021-05-11T05:21:05Z","2017-08-17T05:13:52Z","1999","Made available in DSpace on 2017-08-17T05:13:52Z (GMT). No. of bitstreams: 1
ta24m.pdf: 632933 bytes, checksum: d6f8db1edb4dab8c7bdf3333b2101f92 (MD5)
  Previous issue date: 1999||Made available in DSpace on 2021-05-11T05:21:05Z (GMT). No. of bitstreams: 1
ta24m.pdf: 632933 bytes, checksum: d6f8db1edb4dab8c7bdf3333b2101f92 (MD5)
  Previous issue date: 1999",,,,"http://localhost:8080/xmlui/handle/108/150636",,,"MMDH Section 12 Titanium alloys||MMDH||Aerospace materials",,,"Titanium alloy TA24 Forgings Annealed",,
"679eb9a5-d466-4b61-b0ae-50a9bcb51355","108/19","MMDH Section 11 : Non-corrosion resisting steels : S92","2021-05-11T05:21:05Z","2017-10-09T09:03:53Z","2021-05-11T05:21:05Z","2017-10-09T09:03:53Z","2002","Made available in DSpace on 2017-10-09T09:03:53Z (GMT). No. of bitstreams: 1
s92m.pdf: 161013 bytes, checksum: c7034cf7209f5071929026e44d791ad6 (MD5)
  Previous issue date: 2002||Made available in DSpace on 2021-05-11T05:21:05Z (GMT). No. of bitstreams: 1
s92m.pdf: 161013 bytes, checksum: c7034cf7209f5071929026e44d791ad6 (MD5)
  Previous issue date: 2002",,,,"http://localhost:8080/xmlui/handle/108/151492",,,"MMDH Section 11 Non-corrosion resisting steels||MMDH||Aerospace materials",,,"Bar, Forgings Hardened and tempered welding",,
"2b55bc68-6a8a-4294-99d6-d9044d949973","108/19","AECTP 240 : 2009 Edn.1","2021-05-11T05:21:05Z","2016-12-07T10:09:48Z","2021-05-11T05:21:05Z","2016-12-07T10:09:48Z","2009","Made available in DSpace on 2016-12-07T10:09:48Z (GMT). No. of bitstreams: 1
aectp-240-1.pdf: 3854426 bytes, checksum: e7dc9487a7a289f121821f1d5188b7e8 (MD5)
  Previous issue date: 2009||Made available in DSpace on 2021-05-11T05:21:05Z (GMT). No. of bitstreams: 1
aectp-240-1.pdf: 3854426 bytes, checksum: e7dc9487a7a289f121821f1d5188b7e8 (MD5)
  Previous issue date: 2009",,,,"http://localhost:8080/xmlui/handle/108/64613",,,"NATO",,,"Mechanical Conditions",,
"3973cf24-6e41-4f32-86f2-12aa91c6baab","108/19","MMPDS-10 : Chapter 3 - Aluminium alloys","2021-05-11T05:21:06Z","2016-12-07T10:09:45Z","2021-05-11T05:21:06Z","2016-12-07T10:09:45Z","2015","Made available in DSpace on 2016-12-07T10:09:45Z (GMT). No. of bitstreams: 2
license.txt: 1845 bytes, checksum: 01be73c99f8bf2b8035b10a2bb62af56 (MD5)
MMPDS_CHAPTER_3.pdf: 59177394 bytes, checksum: 9a9d341045972417633268907c290ff4 (MD5)
  Previous issue date: 2015||Made available in DSpace on 2021-05-11T05:21:06Z (GMT). No. of bitstreams: 2
MMPDS_CHAPTER_3.pdf: 59177394 bytes, checksum: 9a9d341045972417633268907c290ff4 (MD5)
license.txt: 1845 bytes, checksum: 01be73c99f8bf2b8035b10a2bb62af56 (MD5)
  Previous issue date: 2015",,,,"http://localhost:8080/xmlui/handle/108/64598",,,"mmpds10-2015",,,"Metallic Materials Properties Development and Standardization (MMPDS) - 10 : Chapter 3 - Aluminium alloys",,
"aea577c6-0542-4a53-9eb4-0edba9515983","108/19","STANAG 4545 : 2000 Edition 1 / AEDP-4","2021-05-11T05:21:06Z","2016-12-07T10:09:47Z","2021-05-11T05:21:06Z","2016-12-07T10:09:47Z","2000","Made available in DSpace on 2016-12-07T10:09:47Z (GMT). No. of bitstreams: 1
4545_ed1_amd1.pdf: 1378707 bytes, checksum: 2975abcaf046110d0ecaea55f582eeb9 (MD5)
  Previous issue date: 2000||Made available in DSpace on 2021-05-11T05:21:06Z (GMT). No. of bitstreams: 1
4545_ed1_amd1.pdf: 1378707 bytes, checksum: 2975abcaf046110d0ecaea55f582eeb9 (MD5)
  Previous issue date: 2000",,,,"http://localhost:8080/xmlui/handle/108/64606",,,"NATO",,,"NATO Secondary Imagery Format�",,
"c71040e2-c5eb-4d13-a464-d526e409bf7e","108/19","AASTP-2 : 2005 Edition 1","2021-05-11T05:21:07Z","2016-12-07T10:09:49Z","2021-05-11T05:21:07Z","2016-12-07T10:09:49Z","2005","Made available in DSpace on 2016-12-07T10:09:49Z (GMT). No. of bitstreams: 1
aastp-2-ed1-chge-3.pdf: 4363650 bytes, checksum: c78f3d724aef2752f98fcb9178639106 (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-05-11T05:21:07Z (GMT). No. of bitstreams: 1
aastp-2-ed1-chge-3.pdf: 4363650 bytes, checksum: c78f3d724aef2752f98fcb9178639106 (MD5)
  Previous issue date: 2005",,,,"http://localhost:8080/xmlui/handle/108/64620",,,"NATO",,,"Manual of NATO Safety Principles for the Transport of Military Ammunition and Explosives",,
"1e70ab0d-3639-452d-93c3-e1c4d5bda48a","108/19","AOP-38 : 2009","2021-05-11T05:21:07Z","2016-12-07T10:09:54Z","2021-05-11T05:21:07Z","2016-12-07T10:09:54Z","2009","Made available in DSpace on 2016-12-07T10:09:54Z (GMT). No. of bitstreams: 1
aop-38-5.pdf: 5213469 bytes, checksum: 081f61fb1f954bc99d88b86e31ba7cdd (MD5)
  Previous issue date: 2009||Made available in DSpace on 2021-05-11T05:21:07Z (GMT). No. of bitstreams: 1
aop-38-5.pdf: 5213469 bytes, checksum: 081f61fb1f954bc99d88b86e31ba7cdd (MD5)
  Previous issue date: 2009",,,,"http://localhost:8080/xmlui/handle/108/64642",,,"NATO",,,"Specialist Glossary of Terms and Definitions on Ammunition Safety",,
"08843c8e-41b4-4ec3-a566-a22786114786","108/19","STANAG 4565 : 2003 Edition 1","2021-05-11T05:21:08Z","2016-12-07T10:09:51Z","2021-05-11T05:21:08Z","2016-12-07T10:09:51Z","2003","Made available in DSpace on 2016-12-07T10:09:51Z (GMT). No. of bitstreams: 1
stanag_4565_edition1_uk_nu.pdf: 37719 bytes, checksum: e525af6fa7606953faeb08de163ab692 (MD5)
  Previous issue date: 2003||Made available in DSpace on 2021-05-11T05:21:08Z (GMT). No. of bitstreams: 1
stanag_4565_edition1_uk_nu.pdf: 37719 bytes, checksum: e525af6fa7606953faeb08de163ab692 (MD5)
  Previous issue date: 2003",,,,"http://localhost:8080/xmlui/handle/108/64637",,,"NATO",,,"Airborne Multi-Mode Receiver for Precision Approach and Landing",,
"8747fe34-8ec8-44ac-a8eb-6960d0c36eb3","108/19","MMPDS-10 : Chapter 1 - General","2021-05-11T05:21:08Z","2016-12-07T10:09:46Z","2021-05-11T05:21:08Z","2016-12-07T10:09:46Z","2015","Made available in DSpace on 2016-12-07T10:09:46Z (GMT). No. of bitstreams: 2
license.txt: 1845 bytes, checksum: 68b061caaed802b834c821b8eac519f6 (MD5)
MMPDS_CHAPTER_1.pdf: 6043650 bytes, checksum: 17a299ab0e3551db254ceea332cdc281 (MD5)
  Previous issue date: 2015||Made available in DSpace on 2021-05-11T05:21:08Z (GMT). No. of bitstreams: 2
MMPDS_CHAPTER_1.pdf: 6043650 bytes, checksum: 17a299ab0e3551db254ceea332cdc281 (MD5)
license.txt: 1845 bytes, checksum: 68b061caaed802b834c821b8eac519f6 (MD5)
  Previous issue date: 2015",,,,"http://localhost:8080/xmlui/handle/108/64599",,,"mmpds10-2015",,,"Metallic Materials Properties Development and Standardization (MMPDS) - 10 : Chapter 1 - General",,
