id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.provenance[en],dc.description.sponsorship[],dc.identifier.uri,dc.publisher[],dc.subject[],dc.title[],dc.title[en_US]
"028c0066-fd20-4ddc-b8b1-676c74417dc6","108/20","ISO 263 : 1973","2021-04-09T07:19:20Z","2016-12-02T07:37:06Z","2021-04-09T07:19:20Z","2016-12-02T07:37:06Z","1973","Made available in DSpace on 2016-12-02T07:37:06Z (GMT). No. of bitstreams: 1
263.pdf: 1083358 bytes, checksum: 7531bc4698f5450cac7db51d3e877f5f (MD5)
  Previous issue date: 1973||Made available in DSpace on 2021-04-09T07:19:20Z (GMT). No. of bitstreams: 1
263.pdf: 1083358 bytes, checksum: 7531bc4698f5450cac7db51d3e877f5f (MD5)
  Previous issue date: 1973",,"http://localhost:8080/xmlui/handle/108/19706",,,"ISO inch screw threads -- General plan and selection for screws, bolts and nuts -- Diameter range 0,06 to 6 in",
"03990693-929e-4015-8dd6-fd511aab5214","108/20","DIN EN 10208-2 : 1996","2021-04-09T07:22:48Z","2016-12-02T07:37:42Z","2021-04-09T07:22:48Z","2016-12-02T07:37:42Z","1996","Made available in DSpace on 2016-12-02T07:37:42Z (GMT). No. of bitstreams: 1
din-en-10208-2-1996.pdf: 4787605 bytes, checksum: 22073261f5b69ebb7dd732ecedead0e8 (MD5)
  Previous issue date: 1996||Made available in DSpace on 2021-04-09T07:22:48Z (GMT). No. of bitstreams: 1
din-en-10208-2-1996.pdf: 4787605 bytes, checksum: 22073261f5b69ebb7dd732ecedead0e8 (MD5)
  Previous issue date: 1996",,"http://localhost:8080/xmlui/handle/108/20066",,"dinstd","Technical delivery conditions for steel pipes for use with combustible fluids - Pipes of requirement class B",
"03cbfe52-8776-4758-a7c3-56bd8e51ff23","108/20","ISO/TR 8550-2 : 2007","2021-04-09T07:23:28Z","2016-12-02T07:37:45Z","2021-04-09T07:23:28Z","2016-12-02T07:37:45Z","2007","Made available in DSpace on 2016-12-02T07:37:45Z (GMT). No. of bitstreams: 1
8550-2.pdf: 1814205 bytes, checksum: 0b204562ee5d170eca90173b89c20f26 (MD5)
  Previous issue date: 2007||Made available in DSpace on 2021-04-09T07:23:28Z (GMT). No. of bitstreams: 1
8550-2.pdf: 1814205 bytes, checksum: 0b204562ee5d170eca90173b89c20f26 (MD5)
  Previous issue date: 2007",,"http://localhost:8080/xmlui/handle/108/20091",,,"Guidance on the selection and usage of acceptance sampling systems for inspection of discrete items in lots -- Part 2: Sampling by attributes",
"040de75b-9e55-4817-994a-bb69248d59ce","108/20","ISO/IEC 27033-5 : 2013","2021-04-09T07:19:23Z","2016-12-02T07:37:08Z","2021-04-09T07:19:23Z","2016-12-02T07:37:08Z","2013","Made available in DSpace on 2016-12-02T07:37:08Z (GMT). No. of bitstreams: 2
license.txt: 1845 bytes, checksum: 0076c92d845d38e8df24c53b3fef90ff (MD5)
ISO_IEC_27033-5_2013(E)-Character_PDF_document.pdf: 598327 bytes, checksum: 84b2c123388539e175542708878c7bcc (MD5)
  Previous issue date: 2013||Made available in DSpace on 2021-04-09T07:19:23Z (GMT). No. of bitstreams: 2
ISO_IEC_27033-5_2013(E)-Character_PDF_document.pdf: 598327 bytes, checksum: 84b2c123388539e175542708878c7bcc (MD5)
license.txt: 1845 bytes, checksum: 0076c92d845d38e8df24c53b3fef90ff (MD5)
  Previous issue date: 2013",,"http://localhost:8080/xmlui/handle/108/19724",,,"Information technology - Security techniques - Network security Part 5 : Securing communications across networks using Virtual Private Networks (VPNs)",
"04c521aa-9341-45fb-a784-7ecd79a93461","108/20","ISO/TS 16949 : 2009","2021-04-09T07:20:47Z","2016-12-02T07:37:23Z","2021-04-09T07:20:47Z","2016-12-02T07:37:23Z","2009","Made available in DSpace on 2016-12-02T07:37:23Z (GMT). No. of bitstreams: 1
16949.pdf: 435439 bytes, checksum: b7dc9ee695a04f0468bf08616b44db2d (MD5)
  Previous issue date: 2009||Made available in DSpace on 2021-04-09T07:20:47Z (GMT). No. of bitstreams: 1
16949.pdf: 435439 bytes, checksum: b7dc9ee695a04f0468bf08616b44db2d (MD5)
  Previous issue date: 2009",,"http://localhost:8080/xmlui/handle/108/19876",,,"Quality management systems -- Particular requirements for the application of ISO 9001:2008 for automotive production and relevant service part organizations",
"04ff9a80-94f0-4420-af71-9052f98d378e","108/20","En 26||R A Mottram||J Woolman","2021-04-09T07:19:43Z","2016-12-01T09:18:06Z","2021-04-09T07:19:43Z","2016-12-01T09:18:06Z","1966","Made available in DSpace on 2016-12-01T09:18:06Z (GMT). No. of bitstreams: 1
en_26.pdf: 3646438 bytes, checksum: 0d1c0148ef027161de696f28ab10ba2f (MD5)
  Previous issue date: 1966||Made available in DSpace on 2021-04-09T07:19:43Z (GMT). No. of bitstreams: 1
en_26.pdf: 3646438 bytes, checksum: 0d1c0148ef027161de696f28ab10ba2f (MD5)
  Previous issue date: 1966","The Mechanical And Physical Properties Of The British Standard En Steels  (B.S. 970-1955) Vol.2","http://localhost:8080/xmlui/handle/108/9605",,"ENSteels||En26","2.5 PER CENT NICKEL-CHROMIUM-MOLYBDENUM STEEL (HIGH CARBON)",
"05672efb-deca-42cd-8e85-86b3ca4bb47c","108/20","DIN 1615 : 1984","2021-04-09T07:22:47Z","2016-12-02T07:37:43Z","2021-04-09T07:22:47Z","2016-12-02T07:37:43Z","1984","Made available in DSpace on 2016-12-02T07:37:43Z (GMT). No. of bitstreams: 1
din-1615-1984.pdf: 446585 bytes, checksum: 90a7572c671cd3aecb8a563245129798 (MD5)
  Previous issue date: 1984||Made available in DSpace on 2021-04-09T07:22:47Z (GMT). No. of bitstreams: 1
din-1615-1984.pdf: 446585 bytes, checksum: 90a7572c671cd3aecb8a563245129798 (MD5)
  Previous issue date: 1984",,"http://localhost:8080/xmlui/handle/108/20071",,"dinstd","Welded circular unalloyed steel tubes not subject to special requirements - Technical delivery conditions",
"05a1a800-c84a-4406-9258-971bb003460f","108/20","ISO 1501 : 2009","2021-04-09T07:19:45Z","2016-12-02T07:37:12Z","2021-04-09T07:19:45Z","2016-12-02T07:37:12Z","2009","Made available in DSpace on 2016-12-02T07:37:12Z (GMT). No. of bitstreams: 1
1501.pdf: 411093 bytes, checksum: 49f513880f133099372bc3d3007fc6a4 (MD5)
  Previous issue date: 2009||Made available in DSpace on 2021-04-09T07:19:45Z (GMT). No. of bitstreams: 1
1501.pdf: 411093 bytes, checksum: 49f513880f133099372bc3d3007fc6a4 (MD5)
  Previous issue date: 2009",,"http://localhost:8080/xmlui/handle/108/19764",,,"ISO miniature screw threads",
"05e42ef5-3f20-43a5-89c3-aafc2bcd98f3","108/20","ISO 8879 : 1986/Amd 1 : 1988","2021-04-09T07:20:00Z","2016-12-02T07:37:16Z","2021-04-09T07:20:00Z","2016-12-02T07:37:16Z","1986","Made available in DSpace on 2016-12-02T07:37:16Z (GMT). No. of bitstreams: 1
8879_amd_1.pdf: 2863658 bytes, checksum: 0dd62eae40903b98f3aafb04000da931 (MD5)
  Previous issue date: 1986||Made available in DSpace on 2021-04-09T07:20:00Z (GMT). No. of bitstreams: 1
8879_amd_1.pdf: 2863658 bytes, checksum: 0dd62eae40903b98f3aafb04000da931 (MD5)
  Previous issue date: 1986",,"http://localhost:8080/xmlui/handle/108/19795",,,"Information processing -- Text and office systems -- Standard Generalized Markup Language (SGML) -- Amendment 1",
"066a5411-b17b-4302-8be3-6074b1e0096a","108/20","DIN EN 10083-3 : 2007","2021-04-09T07:22:32Z","2016-12-02T07:37:40Z","2021-04-09T07:22:32Z","2016-12-02T07:37:40Z","2007","Made available in DSpace on 2016-12-02T07:37:40Z (GMT). No. of bitstreams: 1
din-en-10083-3-2006.pdf: 1064179 bytes, checksum: 9c3bfd21eb9d2e0710d33fcc3f4a90b6 (MD5)
  Previous issue date: 2007||Made available in DSpace on 2021-04-09T07:22:32Z (GMT). No. of bitstreams: 1
din-en-10083-3-2006.pdf: 1064179 bytes, checksum: 9c3bfd21eb9d2e0710d33fcc3f4a90b6 (MD5)
  Previous issue date: 2007",,"http://localhost:8080/xmlui/handle/108/20040",,"dinstd","Steels for quenching and tempering - Part 3: Technical delivery conditions for alloy steels",
"0727d2b9-a926-403d-b39a-ebd9fe88f5da","108/20","ISO 9897 : 1997/Cor 1 : 2001","2021-04-09T07:23:29Z","2016-12-02T07:37:46Z","2021-04-09T07:23:29Z","2016-12-02T07:37:46Z","1997","Made available in DSpace on 2016-12-02T07:37:46Z (GMT). No. of bitstreams: 1
9897cor1.pdf: 11927 bytes, checksum: 1d668de3d5a136968872dc799d35055b (MD5)
  Previous issue date: 1997||Made available in DSpace on 2021-04-09T07:23:29Z (GMT). No. of bitstreams: 1
9897cor1.pdf: 11927 bytes, checksum: 1d668de3d5a136968872dc799d35055b (MD5)
  Previous issue date: 1997",,"http://localhost:8080/xmlui/handle/108/20105",,,"Freight containers -- Container equipment data exchange (CEDEX) -- General communication codes -- Technical Corrigendum 1",
