id,collection,dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.subject[],dc.title[],dc.title[en_US]
"0035fac7-659c-4af6-a04c-3fd4be0b7f93","108/45",,"ARDE SPEC 120","2021-06-08T06:48:13Z","2016-11-24T06:07:23Z","2021-06-08T06:48:13Z","2016-11-24T06:07:23Z",,"1972","Made available in DSpace on 2016-11-24T06:07:23Z (GMT). No. of bitstreams: 1
ss00157.pdf: 29457559 bytes, checksum: aef8a687c73a5801e21a9f847bc5b23f (MD5)
  Previous issue date: 1972||Made available in DSpace on 2021-06-08T06:48:13Z (GMT). No. of bitstreams: 1
ss00157.pdf: 29457559 bytes, checksum: aef8a687c73a5801e21a9f847bc5b23f (MD5)
  Previous issue date: 1972","http://localhost:8080/xmlui/handle/108/136","ARDE/SPECN/120||ardedig","CARTRIDGE PHOTOFLASH 45MM NO.1 MK.1",
"003e380c-5752-4c63-908c-4d36828045fa","108/45",,"ARDE SPEC 133","2021-06-08T06:49:53Z","2016-11-24T06:07:11Z","2021-06-08T06:49:53Z","2016-11-24T06:07:11Z",,"1973","Made available in DSpace on 2016-11-24T06:07:11Z (GMT). No. of bitstreams: 1
ss00166.pdf: 1522341 bytes, checksum: a2c5f89aa6bf96ea89a46df0bc025e0f (MD5)
  Previous issue date: 1973||Made available in DSpace on 2021-06-08T06:49:53Z (GMT). No. of bitstreams: 1
ss00166.pdf: 1522341 bytes, checksum: a2c5f89aa6bf96ea89a46df0bc025e0f (MD5)
  Previous issue date: 1973","http://localhost:8080/xmlui/handle/108/58","ARDE/SPECN/133||ardedig","SIMULATOR 120MM MORTAR FIRE CH IV & VI FILLED",
"00f0eff5-d298-4f60-9570-4f6e61db1092","108/45",,"ARDE SPEC 62","2021-06-08T06:51:41Z","2016-11-24T06:08:19Z","2021-06-08T06:51:41Z","2016-11-24T06:08:19Z",,"1969","Made available in DSpace on 2016-11-24T06:08:19Z (GMT). No. of bitstreams: 1
ss00122.pdf: 2001590 bytes, checksum: 804e406107bb6a720d784a7768333700 (MD5)
  Previous issue date: 1969||Made available in DSpace on 2021-06-08T06:51:41Z (GMT). No. of bitstreams: 1
ss00122.pdf: 2001590 bytes, checksum: 804e406107bb6a720d784a7768333700 (MD5)
  Previous issue date: 1969","http://localhost:8080/xmlui/handle/108/496","ARDE/SPECN/62||ardedig","DYE OIL SCARLET",
"01304048-4922-4e14-b92a-c71c9282f0c6","108/45",,"ARDE PS 68","2021-06-08T06:50:19Z","2016-11-24T06:08:12Z","2021-06-08T06:50:19Z","2016-11-24T06:08:12Z",,,"Made available in DSpace on 2016-11-24T06:08:12Z (GMT). No. of bitstreams: 1
ss00398.pdf: 12891244 bytes, checksum: b0ce6a43a4dfb457c7c4f81a122ccfb7 (MD5)||Made available in DSpace on 2021-06-08T06:50:19Z (GMT). No. of bitstreams: 1
ss00398.pdf: 12891244 bytes, checksum: b0ce6a43a4dfb457c7c4f81a122ccfb7 (MD5)","http://localhost:8080/xmlui/handle/108/455","ardedig","TEST CAP FIRING MECHANISM NO.1 MK.1 ( 312K/15 ) FILLED",
"023ecc64-98e6-4810-8668-09bea656b004","108/45",,"ARDE SPEC 299","2021-06-08T06:50:01Z","2016-11-24T06:07:55Z","2021-06-08T06:50:01Z","2016-11-24T06:07:55Z",,,"Made available in DSpace on 2016-11-24T06:07:55Z (GMT). No. of bitstreams: 1
ss00311.pdf: 33206004 bytes, checksum: 2344b6e893b510a23c4f4f225f7e09fd (MD5)||Made available in DSpace on 2021-06-08T06:50:01Z (GMT). No. of bitstreams: 1
ss00311.pdf: 33206004 bytes, checksum: 2344b6e893b510a23c4f4f225f7e09fd (MD5)","http://localhost:8080/xmlui/handle/108/341","ARDE/SPECN/299||ardedig","FLARE TRIP WIRE MK.II FILLED & FUZE MINE COMB M.605 MODIFIED FILLED",
"02ce9e87-be9c-4582-9969-1b6929a24a19","108/45",,"ARDE PS 173","2021-06-08T06:48:07Z","2016-11-24T06:07:24Z","2021-06-08T06:48:07Z","2016-11-24T06:07:24Z",,,"Made available in DSpace on 2016-11-24T06:07:24Z (GMT). No. of bitstreams: 1
ss00481.pdf: 12339653 bytes, checksum: c96675082781a96a9c03d52932a78c7f (MD5)||Made available in DSpace on 2021-06-08T06:48:07Z (GMT). No. of bitstreams: 1
ss00481.pdf: 12339653 bytes, checksum: c96675082781a96a9c03d52932a78c7f (MD5)","http://localhost:8080/xmlui/handle/108/142","ardedig","FUZE VT 9A FOR AMMUNITION OQF 75/24 PACK HOWITZER EMPTY",
"0369d48d-a729-4f4d-abe7-3e9b368c3a43","108/45",,"ARDE SPEC 264","2021-06-08T06:52:07Z","2016-11-24T06:08:21Z","2021-06-08T06:52:07Z","2016-11-24T06:08:21Z",,,"Made available in DSpace on 2016-11-24T06:08:21Z (GMT). No. of bitstreams: 1
ss00284.pdf: 24900760 bytes, checksum: 9acae06d03afee948a3aead6ca713a77 (MD5)||Made available in DSpace on 2021-06-08T06:52:07Z (GMT). No. of bitstreams: 1
ss00284.pdf: 24900760 bytes, checksum: 9acae06d03afee948a3aead6ca713a77 (MD5)","http://localhost:8080/xmlui/handle/108/508","ARDE/SPECN/264||ardedig","CARTRIDGE ELECTRIC OPERATING FIRE EXTINGUISHER 3 PIN NO.1 MK.3 EMPTY",
"03bb0078-0e49-4588-ad06-1ce47d8d4854","108/45",,"ARDE PS 88","2021-06-08T06:48:08Z","2016-11-24T06:07:23Z","2021-06-08T06:48:08Z","2016-11-24T06:07:23Z",,"1977","Made available in DSpace on 2016-11-24T06:07:23Z (GMT). No. of bitstreams: 1
ss00411.pdf: 2550687 bytes, checksum: 6c80716e3896c6b7adf64eb114303310 (MD5)
  Previous issue date: 1977||Made available in DSpace on 2021-06-08T06:48:08Z (GMT). No. of bitstreams: 1
ss00411.pdf: 2550687 bytes, checksum: 6c80716e3896c6b7adf64eb114303310 (MD5)
  Previous issue date: 1977","http://localhost:8080/xmlui/handle/108/134","ardedig","CARTRIDGE IGNITER PV-35 FOR S-22 AIRCRAFT EMPTY",
"04917953-91b4-463f-9a85-30f9221e1000","108/45",,"ARDE PS 130","2021-06-08T06:49:48Z","2016-11-24T06:07:49Z","2021-06-08T06:49:48Z","2016-11-24T06:07:49Z",,,"Made available in DSpace on 2016-11-24T06:07:49Z (GMT). No. of bitstreams: 1
ss00452.pdf: 12708190 bytes, checksum: 9b896961877950cf351dc8e63d95366e (MD5)||Made available in DSpace on 2021-06-08T06:49:48Z (GMT). No. of bitstreams: 1
ss00452.pdf: 12708190 bytes, checksum: 9b896961877950cf351dc8e63d95366e (MD5)","http://localhost:8080/xmlui/handle/108/305","ardedig","CARTRIDGE EJECTOR RELEASE UNIT TYPE ARD-863-1 FOR AJEET AIRCRAFT FILLED",
"04d71e7d-69d4-42e7-aa02-be3d8d72398e","108/45",,"ARDE PS 232","2021-06-08T06:50:00Z","2016-11-24T06:08:10Z","2021-06-08T06:50:00Z","2016-11-24T06:08:10Z",,"1992","Made available in DSpace on 2016-11-24T06:08:10Z (GMT). No. of bitstreams: 1
ss02825.pdf: 6761165 bytes, checksum: 5a9be6aa90f2075a5157ea817f2594b0 (MD5)
  Previous issue date: 1992||Made available in DSpace on 2021-06-08T06:50:00Z (GMT). No. of bitstreams: 1
ss02825.pdf: 6761165 bytes, checksum: 5a9be6aa90f2075a5157ea817f2594b0 (MD5)
  Previous issue date: 1992","http://localhost:8080/xmlui/handle/108/439","ardedig","Fuze percussion DASD for 30mm naval ammunition (prov)",
"058dd608-0f68-47ff-8c4e-6228ecd1613c","108/45",,"ARDE SPEC 76","2021-06-08T06:51:59Z","2016-11-24T06:08:25Z","2021-06-08T06:51:59Z","2016-11-24T06:08:25Z",,"1970","Made available in DSpace on 2016-11-24T06:08:25Z (GMT). No. of bitstreams: 1
ss00130.pdf: 9608667 bytes, checksum: 2bf59076363b810cb5d167df9b9b6388 (MD5)
  Previous issue date: 1970||Made available in DSpace on 2021-06-08T06:51:59Z (GMT). No. of bitstreams: 1
ss00130.pdf: 9608667 bytes, checksum: 2bf59076363b810cb5d167df9b9b6388 (MD5)
  Previous issue date: 1970","http://localhost:8080/xmlui/handle/108/535","ARDE/SPECN/76||ardedig","CORD PYROTECHNIC DETECTOR FOR MANUFACTURE AND PROOF OF PYRO-WICKS",
"0642242c-2fd1-4114-8aca-72ca91925e1d","108/45",,"ARDE SPEC 117","2021-06-08T06:48:55Z","2016-11-24T06:07:44Z","2021-06-08T06:48:55Z","2016-11-24T06:07:44Z",,"1971","Made available in DSpace on 2016-11-24T06:07:44Z (GMT). No. of bitstreams: 1
ss00154.pdf: 15252169 bytes, checksum: b3aad2298f6f6d7a532238c8db3643b4 (MD5)
  Previous issue date: 1971||Made available in DSpace on 2021-06-08T06:48:55Z (GMT). No. of bitstreams: 1
ss00154.pdf: 15252169 bytes, checksum: b3aad2298f6f6d7a532238c8db3643b4 (MD5)
  Previous issue date: 1971","http://localhost:8080/xmlui/handle/108/272","ARDE/SPECN/117||ardedig","BOMB 120MM MORTAR SCREENING SMOKE BURSTING TYPE PWP FILLED",
"06e36e06-9cea-440d-857a-48f19728d56e","108/45",,"ARDE SPEC 476","2021-06-08T06:47:55Z","2016-11-24T06:07:22Z","2021-06-08T06:47:55Z","2016-11-24T06:07:22Z",,"1992","Made available in DSpace on 2016-11-24T06:07:22Z (GMT). No. of bitstreams: 1
ss03022.pdf: 5742753 bytes, checksum: 20038681e6cb27d8299df012149ec0a8 (MD5)
  Previous issue date: 1992||Made available in DSpace on 2021-06-08T06:47:55Z (GMT). No. of bitstreams: 1
ss03022.pdf: 5742753 bytes, checksum: 20038681e6cb27d8299df012149ec0a8 (MD5)
  Previous issue date: 1992","http://localhost:8080/xmlui/handle/108/130","ARDE/SPECN/476||ardedig","Free swimmers distress signal - Day/night",
"0720e944-db85-4d27-9ff0-13dbfaaa295c","108/45",,"ARDE PS 115","2021-06-08T06:48:08Z","2016-11-24T06:07:25Z","2021-06-08T06:48:08Z","2016-11-24T06:07:25Z",,"1978","Made available in DSpace on 2016-11-24T06:07:25Z (GMT). No. of bitstreams: 1
ss00439.pdf: 2365591 bytes, checksum: b4a9ee337506a249f2ab8fdc451e5edc (MD5)
  Previous issue date: 1978||Made available in DSpace on 2021-06-08T06:48:08Z (GMT). No. of bitstreams: 1
ss00439.pdf: 2365591 bytes, checksum: b4a9ee337506a249f2ab8fdc451e5edc (MD5)
  Previous issue date: 1978","http://localhost:8080/xmlui/handle/108/150","ardedig","FUZE VT 7A FILLED",
"07944783-5544-490c-bfde-8ab83b422d6a","108/45",,"ARDE SPEC 263","2021-06-08T06:52:19Z","2016-11-24T06:08:24Z","2021-06-08T06:52:19Z","2016-11-24T06:08:24Z",,,"Made available in DSpace on 2016-11-24T06:08:24Z (GMT). No. of bitstreams: 1
ss00283.pdf: 31637968 bytes, checksum: d3633612198c249ca5fbcb811277e6ec (MD5)||Made available in DSpace on 2021-06-08T06:52:19Z (GMT). No. of bitstreams: 1
ss00283.pdf: 31637968 bytes, checksum: d3633612198c249ca5fbcb811277e6ec (MD5)","http://localhost:8080/xmlui/handle/108/522","ARDE/SPECN/263||ardedig","CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT FILLED",
"089ddc77-a0ea-4f39-8a15-b1dbece821f4","108/45",,"ARDE PS 65","2021-06-08T06:51:02Z","2016-11-24T06:07:57Z","2021-06-08T06:51:02Z","2016-11-24T06:07:57Z",,,"Made available in DSpace on 2016-11-24T06:07:57Z (GMT). No. of bitstreams: 1
ss00393.pdf: 4273354 bytes, checksum: e1c35865f4b0a6d4c04607d215908227 (MD5)||Made available in DSpace on 2021-06-08T06:51:02Z (GMT). No. of bitstreams: 1
ss00393.pdf: 4273354 bytes, checksum: e1c35865f4b0a6d4c04607d215908227 (MD5)","http://localhost:8080/xmlui/handle/108/347","ardedig","CARTRIDGE CANOPY UNLOCKING PV-1 FOR MIG AIRCRAFT INDIGENOUS EMPTY",
"093b8908-2459-4b1b-b716-c6bb714cd4d2","108/45",,"ARDE SPEC 375","2021-06-08T06:49:23Z","2016-11-24T06:07:47Z","2021-06-08T06:49:23Z","2016-11-24T06:07:47Z",,"1988","Made available in DSpace on 2016-11-24T06:07:47Z (GMT). No. of bitstreams: 1
ss00356.pdf: 9731129 bytes, checksum: 2e459110a57f1bf48e58f96aba4b892a (MD5)
  Previous issue date: 1988||Made available in DSpace on 2021-06-08T06:49:23Z (GMT). No. of bitstreams: 1
ss00356.pdf: 9731129 bytes, checksum: 2e459110a57f1bf48e58f96aba4b892a (MD5)
  Previous issue date: 1988","http://localhost:8080/xmlui/handle/108/294","ARDE/SPECN/375||ardedig","CARTRIDGE QF 30MM TRACER",
"09701ee8-2eb3-416a-9116-6ad77caedf57","108/45",,"ARDE SPEC 235","2021-06-08T06:48:48Z","2016-11-24T06:07:37Z","2021-06-08T06:48:48Z","2016-11-24T06:07:37Z",,,"Made available in DSpace on 2016-11-24T06:07:37Z (GMT). No. of bitstreams: 1
ss00255.pdf: 413327 bytes, checksum: 7290fad3ffdbfd032ddbf535297b540c (MD5)||Made available in DSpace on 2021-06-08T06:48:48Z (GMT). No. of bitstreams: 1
ss00255.pdf: 413327 bytes, checksum: 7290fad3ffdbfd032ddbf535297b540c (MD5)","http://localhost:8080/xmlui/handle/108/223","ARDE/SPECN/235||ardedig","CARTRIDGE SEAT EJECTION PRIMARY 1 & CARTRIDGE SEAT EJECTION SECONDARY 2 FOR HF-24 AIRCRAFT FILLED",
"0a090b9f-ce88-40c3-8e8e-9c1ae87a6c83","108/45",,"ARDE SPEC 262","2021-06-08T06:51:47Z","2016-11-24T06:08:25Z","2021-06-08T06:51:47Z","2016-11-24T06:08:25Z",,,"Made available in DSpace on 2016-11-24T06:08:25Z (GMT). No. of bitstreams: 1
ss00281.pdf: 37678815 bytes, checksum: d5afe00b9f1ce032816b6c5559c34207 (MD5)||Made available in DSpace on 2021-06-08T06:51:47Z (GMT). No. of bitstreams: 1
ss00281.pdf: 37678815 bytes, checksum: d5afe00b9f1ce032816b6c5559c34207 (MD5)","http://localhost:8080/xmlui/handle/108/529","ARDE/SPECN/262||ardedig","CARTRIDGE CANOPY JETTISONING CLAMSHELL FOR KIRAN AIRCRAFT EMPTY",
"0a1597da-2801-466e-8354-7aa3e5138671","108/45",,"ARDE SPEC 205A","2021-06-08T06:50:45Z","2016-11-24T06:08:11Z","2021-06-08T06:50:45Z","2016-11-24T06:08:11Z",,"1994","Made available in DSpace on 2016-11-24T06:08:11Z (GMT). No. of bitstreams: 1
ss03079.pdf: 646944 bytes, checksum: 5db8093e1abacf8c14a8376cf7f11e0d (MD5)
  Previous issue date: 1994||Made available in DSpace on 2021-06-08T06:50:45Z (GMT). No. of bitstreams: 1
ss03079.pdf: 646944 bytes, checksum: 5db8093e1abacf8c14a8376cf7f11e0d (MD5)
  Previous issue date: 1994","http://localhost:8080/xmlui/handle/108/446","ARDE/SPECN/205A||ardedig","Cartridges submerged ejector signals (Red, Green and Yellow) - Consolidated star pellets Type A,B and C",
"0a19ce92-a380-40fa-a4da-bdd24ac6d3e6","108/45",,"ARDE SPEC 154","2021-06-08T06:51:48Z","2016-11-24T06:08:19Z","2021-06-08T06:51:48Z","2016-11-24T06:08:19Z",,"1975","Made available in DSpace on 2016-11-24T06:08:19Z (GMT). No. of bitstreams: 1
ss00187.pdf: 1000276 bytes, checksum: 313eab2916739864216ea3fc1655c999 (MD5)
  Previous issue date: 1975||Made available in DSpace on 2021-06-08T06:51:48Z (GMT). No. of bitstreams: 1
ss00187.pdf: 1000276 bytes, checksum: 313eab2916739864216ea3fc1655c999 (MD5)
  Previous issue date: 1975","http://localhost:8080/xmlui/handle/108/497","ARDE/SPECN/154||ardedig","GLASS FIBRE FOR USE IN EXPLOSIVE COMPOSITION",
"0b042e84-8328-4627-8e81-1d572e8cf230","108/45",,"ARDE SPEC 45","2021-06-08T06:53:34Z","2016-11-24T06:07:18Z","2021-06-08T06:53:34Z","2016-11-24T06:07:18Z",,"1968","Made available in DSpace on 2016-11-24T06:07:18Z (GMT). No. of bitstreams: 1
ss00044.pdf: 5033280 bytes, checksum: eb8c889d27ff34b042ec15082fad2dd3 (MD5)
  Previous issue date: 1968||Made available in DSpace on 2021-06-08T06:53:34Z (GMT). No. of bitstreams: 1
ss00044.pdf: 5033280 bytes, checksum: eb8c889d27ff34b042ec15082fad2dd3 (MD5)
  Previous issue date: 1968","http://localhost:8080/xmlui/handle/108/98","ARDE/SPECN/45||ardedig","BOMBS 120MM BRANDT MORTAR WP",
