id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.abstract[en_US],dc.description.provenance[en],dc.description[],dc.identifier.citation[],dc.identifier.citation[en_US],dc.identifier.uri,dc.language.iso[],dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[en_US],dc.title[],dc.title[en_US],dc.type[],dc.type[en_US]
"0198956e-7841-4f45-b0e0-7b67be9dfa0c","108/2","Dighe, Sandip","2021-04-07T08:51:26Z","2017-05-29T05:34:17Z","2021-04-07T08:51:26Z","2017-05-29T05:34:17Z","2017-05-29",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2017-05-29T05:34:17Z
No. of bitstreams: 1
news29may20170001.pdf: 581586 bytes, checksum: 2e02aaa84fa13e76bcb60ef949783870 (MD5)||Made available in DSpace on 2017-05-29T05:34:17Z (GMT). No. of bitstreams: 1
news29may20170001.pdf: 581586 bytes, checksum: 2e02aaa84fa13e76bcb60ef949783870 (MD5)
  Previous issue date: 2017-05-29||Made available in DSpace on 2021-04-07T08:51:26Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
news29may20170001.pdf: 581586 bytes, checksum: 2e02aaa84fa13e76bcb60ef949783870 (MD5)
  Previous issue date: 2017-05-29",,,"The Times of India, 29 May 2017","http://localhost:8080/xmlui/handle/108/149550",,,,,,"Defence||Defence Manufacturing||Strategic Partership||Self reliant",,,"Jaitley pitches for India as defence manufacturing hub",,
"0262d2a2-fe32-4514-bd0e-8ad195a902a8","108/2",,"2021-04-07T08:49:43Z","2016-12-08T10:50:26Z","2021-04-07T08:49:43Z","2016-12-08T10:50:26Z","2010-05-26",,"Made available in DSpace on 2016-12-08T10:50:26Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 4220a42c059a7a97f3d583631f0bee0a (MD5)
28May 1.pdf: 62952 bytes, checksum: d4d9d5d95e0d652918b06c323c697aa1 (MD5)
  Previous issue date: 2010-05-26||Made available in DSpace on 2021-04-07T08:49:43Z (GMT). No. of bitstreams: 2
28May 1.pdf: 62952 bytes, checksum: d4d9d5d95e0d652918b06c323c697aa1 (MD5)
license.txt: 1831 bytes, checksum: 4220a42c059a7a97f3d583631f0bee0a (MD5)
  Previous issue date: 2010-05-26","The Indian Express, New Delhi, 28 May 2010",,,"http://localhost:8080/xmlui/handle/108/84599","en",,,,"DRDO||Blam game||Defence policy",,,"DRDO alone not at fault says chief",,"Article",
"03cdb30a-6adb-45ae-8c40-154de1112a2f","108/2","News Service","2021-04-07T08:51:06Z","2017-12-06T08:56:12Z","2021-04-07T08:51:06Z","2017-12-06T08:56:12Z","2017-12-06",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2017-12-06T08:56:12Z
No. of bitstreams: 1
news TH 6dec20170001.pdf: 1214583 bytes, checksum: 972c77884f70db8277c0716936848a8c (MD5)||Made available in DSpace on 2017-12-06T08:56:12Z (GMT). No. of bitstreams: 1
news TH 6dec20170001.pdf: 1214583 bytes, checksum: 972c77884f70db8277c0716936848a8c (MD5)
  Previous issue date: 2017-12-06||Made available in DSpace on 2021-04-07T08:51:06Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
news TH 6dec20170001.pdf: 1214583 bytes, checksum: 972c77884f70db8277c0716936848a8c (MD5)
  Previous issue date: 2017-12-06",,,"The Hindu,06 Dec 2017","http://localhost:8080/xmlui/handle/108/151798",,,,,,"Akash||Supersonic||Surface to Air||UAV||Banshee",,,"Akash test-fired successfully",,
"04e29d30-3074-4cea-b48a-c00be2816215","108/2","The Times of India","2021-04-07T08:51:21Z","2017-06-22T04:25:36Z","2021-04-07T08:51:21Z","2017-06-22T04:25:36Z","2017-06-22",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2017-06-22T04:25:36Z
No. of bitstreams: 1
news22june20170001.pdf: 322439 bytes, checksum: 59e22a41721310c3e85daad8c527055f (MD5)||Made available in DSpace on 2017-06-22T04:25:36Z (GMT). No. of bitstreams: 1
news22june20170001.pdf: 322439 bytes, checksum: 59e22a41721310c3e85daad8c527055f (MD5)
  Previous issue date: 2017-06-22||Made available in DSpace on 2021-04-07T08:51:21Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
news22june20170001.pdf: 322439 bytes, checksum: 59e22a41721310c3e85daad8c527055f (MD5)
  Previous issue date: 2017-06-22",,,"The Times of India, 22 June 2017","http://localhost:8080/xmlui/handle/108/149739",,,,,,"Make in India||Collaborative Manufacturing||Russia||India||DRDO||Technoprom - 2017",,,"Jaitley asks Russia defence sector cos to 'Make in India'",,
"07e62b68-03b3-4c3a-bf93-f5ec9305f5b3","108/2","Pandit, Rajat","2021-04-07T08:50:59Z","2018-01-19T06:21:03Z","2021-04-07T08:50:59Z","2018-01-19T06:21:03Z","2018-01-19",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2018-01-19T06:21:03Z
No. of bitstreams: 1
scan0004.pdf: 1702543 bytes, checksum: 18cc903120f28c93efc094c1b1adefc8 (MD5)||Made available in DSpace on 2018-01-19T06:21:03Z (GMT). No. of bitstreams: 1
scan0004.pdf: 1702543 bytes, checksum: 18cc903120f28c93efc094c1b1adefc8 (MD5)
  Previous issue date: 2018-01-19||Made available in DSpace on 2021-04-07T08:50:59Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
scan0004.pdf: 1702543 bytes, checksum: 18cc903120f28c93efc094c1b1adefc8 (MD5)
  Previous issue date: 2018-01-19",,,,"http://localhost:8080/xmlui/handle/108/152186",,"en_US",,"The Times of India",,"ICBM||AGNI-5||SFC||DRDO||MIRVs",,,"Entire China Could Soon be within India's N-strike Zone",,"Article"
"0801b812-9cc0-4a38-8c19-a8492ac220ce","108/2","Shukla, Ajai","2021-04-07T08:49:47Z","2016-12-08T10:50:26Z","2021-04-07T08:49:47Z","2016-12-08T10:50:26Z","2010-07-27",,"Made available in DSpace on 2016-12-08T10:50:26Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: d3756421335cd0ea189ed28e3ce2bc1d (MD5)
bs27JulAjai.pdf: 29954 bytes, checksum: 489e545f43ffab64262e5e9999132cb8 (MD5)
  Previous issue date: 2010-07-27||Made available in DSpace on 2021-04-07T08:49:47Z (GMT). No. of bitstreams: 2
bs27JulAjai.pdf: 29954 bytes, checksum: 489e545f43ffab64262e5e9999132cb8 (MD5)
license.txt: 1831 bytes, checksum: d3756421335cd0ea189ed28e3ce2bc1d (MD5)
  Previous issue date: 2010-07-27","Business Standard, New Delhi, 27 July 2010",,,"http://localhost:8080/xmlui/handle/108/84591","en",,,,"Artillery weapon||155mm||Bofors",,,"The Indian Artillery Project: An Indian journey sans Bofors baggage",,"Article",
"0a28cd44-4ea5-48ed-807a-2aae61e1b0b3","108/2",,"2021-04-07T08:49:57Z","2016-12-08T10:50:24Z","2021-04-07T08:49:57Z","2016-12-08T10:50:24Z","2010-06",,"Made available in DSpace on 2016-12-08T10:50:24Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: a5a51ac3ea254b6b831d60b900b36829 (MD5)
16Jun 2.pdf: 85828 bytes, checksum: 23cdd7ec24b9a812d961b94fdf58d72b (MD5)
  Previous issue date: 2010-06||Made available in DSpace on 2021-04-07T08:49:57Z (GMT). No. of bitstreams: 2
16Jun 2.pdf: 85828 bytes, checksum: 23cdd7ec24b9a812d961b94fdf58d72b (MD5)
license.txt: 1831 bytes, checksum: a5a51ac3ea254b6b831d60b900b36829 (MD5)
  Previous issue date: 2010-06","Defence Security, June 2010",,,"http://localhost:8080/xmlui/handle/108/84576","en",,,,"Restructure||DRDO",,,"DRDO in recast mode",,"Article",
"0a429550-dfbe-4677-ad68-2854dc08289d","108/2","Shukla, Ajai","2021-04-07T08:49:31Z","2016-12-08T10:50:29Z","2021-04-07T08:49:31Z","2016-12-08T10:50:29Z","2011-02-05",,"Made available in DSpace on 2016-12-08T10:50:29Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: dbe29130ed9ee432899996f4065d5eb4 (MD5)
tejasaero.pdf: 14599 bytes, checksum: d65c3efc9315550e1dfe888d2dc329b8 (MD5)
  Previous issue date: 2011-02-05||Made available in DSpace on 2021-04-07T08:49:31Z (GMT). No. of bitstreams: 2
tejasaero.pdf: 14599 bytes, checksum: d65c3efc9315550e1dfe888d2dc329b8 (MD5)
license.txt: 1831 bytes, checksum: dbe29130ed9ee432899996f4065d5eb4 (MD5)
  Previous issue date: 2011-02-05",,"Business Standard",,"http://localhost:8080/xmlui/handle/108/84624","en",,,,"Aero India 2011||TEJAS||LCA||India",,,"Five Tejas fighters to light up Aero India",,"Article",
"0bea673d-065f-4765-90df-a421634b44af","108/2",,"2021-04-07T08:49:29Z","2016-12-08T10:50:30Z","2021-04-07T08:49:29Z","2016-12-08T10:50:30Z","2011-03-03",,"Made available in DSpace on 2016-12-08T10:50:30Z (GMT). No. of bitstreams: 2
license.txt: 1831 bytes, checksum: 8331027ac9338e82271097bf4f0ecac7 (MD5)
defbudget.pdf: 520117 bytes, checksum: f22669dddd7415723997f36400fc7b11 (MD5)
  Previous issue date: 2011-03-03||Made available in DSpace on 2021-04-07T08:49:29Z (GMT). No. of bitstreams: 2
defbudget.pdf: 520117 bytes, checksum: f22669dddd7415723997f36400fc7b11 (MD5)
license.txt: 1831 bytes, checksum: 8331027ac9338e82271097bf4f0ecac7 (MD5)
  Previous issue date: 2011-03-03",,,,"http://localhost:8080/xmlui/handle/108/84630","en",,,,"Defence Budget||India||2011",,,"Defence Budget-2011",,"Article",
"0c9d3114-0a94-40b0-a5e9-11fe59a2cc48","108/2","Economic Time Service","2021-04-07T08:51:39Z","2017-03-07T05:05:19Z","2021-04-07T08:51:39Z","2017-03-07T05:05:19Z","2017-02-16",,"Submitted by Ajay Pandey (akpandey@arde.org) on 2017-03-07T05:05:19Z
No. of bitstreams: 1
ET 16 March.pdf: 151215 bytes, checksum: c756bcc552cc424e1d599a608688295c (MD5)||Made available in DSpace on 2017-03-07T05:05:19Z (GMT). No. of bitstreams: 1
ET 16 March.pdf: 151215 bytes, checksum: c756bcc552cc424e1d599a608688295c (MD5)
  Previous issue date: 2017-02-16||Made available in DSpace on 2021-04-07T08:51:39Z (GMT). No. of bitstreams: 2
license.txt: 1748 bytes, checksum: 8a4605be74aa9ea9d79846c1fba20a33 (MD5)
ET 16 March.pdf: 151215 bytes, checksum: c756bcc552cc424e1d599a608688295c (MD5)
  Previous issue date: 2017-02-16",,,"The Economic Times, 16 February 2017","http://localhost:8080/xmlui/handle/108/148939",,,,,,"Isro||PSLV||Satellite||Cartosat-2",,,"IsroLaunch 104 satellites In one shot",,
