id,collection,dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.language.iso[],dc.publisher[],dc.subject[],dc.title[],dc.title[en_US],dc.type[]
"00278532-ef3e-49ac-878c-6b10097a17a7","108/33",,"GB951037(A)||BASF AG","2021-05-18T09:04:03Z","2016-12-02T09:58:48Z","2021-05-18T09:04:03Z","2016-12-02T09:58:48Z",,"1964-03-04","Made available in DSpace on 2016-12-02T09:58:48Z (GMT). No. of bitstreams: 1
gb951037(a).pdf: 182370 bytes, checksum: 5743838c76fe19e79037805979a6cb60 (MD5)
  Previous issue date: 1964-03-04||Made available in DSpace on 2021-05-18T09:04:03Z (GMT). No. of bitstreams: 1
gb951037(a).pdf: 182370 bytes, checksum: 5743838c76fe19e79037805979a6cb60 (MD5)
  Previous issue date: 1964-03-04","http://localhost:8080/xmlui/handle/108/22708",,,,"Production of a manganese oxide suitable for the production of ferrites ( TIRC 7136 )",,
"008a7e4e-4417-4e16-96fa-be557ddd7389","108/33",,"US6466172B1||The United States of America as represented by the","2021-05-18T09:04:52Z","2016-12-02T09:57:46Z","2021-05-18T09:04:52Z","2016-12-02T09:57:46Z",,"2002-10-15","Made available in DSpace on 2016-12-02T09:57:46Z (GMT). No. of bitstreams: 1
us6466172b1.pdf: 599335 bytes, checksum: e114a6b845ca1412559313c6a913c4ec (MD5)
  Previous issue date: 2002-10-15||Made available in DSpace on 2021-05-18T09:04:52Z (GMT). No. of bitstreams: 1
us6466172b1.pdf: 599335 bytes, checksum: e114a6b845ca1412559313c6a913c4ec (MD5)
  Previous issue date: 2002-10-15","http://localhost:8080/xmlui/handle/108/21840",,,,"GPS and telemetry antenna for use on projectiles",,
"00f27369-b997-4f51-b1a6-c7eec92d5e6c","108/33",,"US4562980A||The Commonwealth of Australia","2021-05-18T09:04:49Z","2016-12-02T09:57:48Z","2021-05-18T09:04:49Z","2016-12-02T09:57:48Z",,"1986-07-01","Made available in DSpace on 2016-12-02T09:57:48Z (GMT). No. of bitstreams: 1
us4562980a.pdf: 599726 bytes, checksum: 741e4348ebb6d5a958c20e34d2302c54 (MD5)
  Previous issue date: 1986-07-01||Made available in DSpace on 2021-05-18T09:04:49Z (GMT). No. of bitstreams: 1
us4562980a.pdf: 599726 bytes, checksum: 741e4348ebb6d5a958c20e34d2302c54 (MD5)
  Previous issue date: 1986-07-01","http://localhost:8080/xmlui/handle/108/21862",,,,"Rocketvehicle",,
"01064454-1927-447e-abe9-e730dd731e51","108/33",,"US20010025901A1||{n/a}","2021-05-18T09:08:50Z","2016-12-02T09:58:07Z","2021-05-18T09:08:50Z","2016-12-02T09:58:07Z",,"2001-04-10","Made available in DSpace on 2016-12-02T09:58:07Z (GMT). No. of bitstreams: 1
us20010025901a1.pdf: 350710 bytes, checksum: 6f3ce828dda49c01e2724944dda4f725 (MD5)
  Previous issue date: 2001-04-10||Made available in DSpace on 2021-05-18T09:08:50Z (GMT). No. of bitstreams: 1
us20010025901a1.pdf: 350710 bytes, checksum: 6f3ce828dda49c01e2724944dda4f725 (MD5)
  Previous issue date: 2001-04-10","http://localhost:8080/xmlui/handle/108/22126",,,,"Method and system for guiding submunitions",,
"011b74ef-e750-49bf-b722-71b8ca0d3894","108/33",,"US3443976(A)||None","2021-05-18T09:15:53Z","2016-12-02T09:58:30Z","2021-05-18T09:15:53Z","2016-12-02T09:58:30Z",,"1969-05-13","Made available in DSpace on 2016-12-02T09:58:30Z (GMT). No. of bitstreams: 1
us3443976(a).pdf: 309417 bytes, checksum: c5515736c49e347f90aceb7ad4114d31 (MD5)
  Previous issue date: 1969-05-13||Made available in DSpace on 2021-05-18T09:15:53Z (GMT). No. of bitstreams: 1
us3443976(a).pdf: 309417 bytes, checksum: c5515736c49e347f90aceb7ad4114d31 (MD5)
  Previous issue date: 1969-05-13","http://localhost:8080/xmlui/handle/108/22452",,,,"MINERAL GRINDING AIDS (TIRC 9120)",,
"0134b2cd-126a-4ae0-997e-312fbc53386f","108/33",,"US20060010998A1||Roke Manor Research Limited","2021-05-18T09:06:32Z","2016-12-02T09:57:59Z","2021-05-18T09:06:32Z","2016-12-02T09:57:59Z",,"2006-01-19","Made available in DSpace on 2016-12-02T09:57:59Z (GMT). No. of bitstreams: 1
us20060010998a1.pdf: 608434 bytes, checksum: 55b293531310f6772edf39e212ca5b06 (MD5)
  Previous issue date: 2006-01-19||Made available in DSpace on 2021-05-18T09:06:32Z (GMT). No. of bitstreams: 1
us20060010998a1.pdf: 608434 bytes, checksum: 55b293531310f6772edf39e212ca5b06 (MD5)
  Previous issue date: 2006-01-19","http://localhost:8080/xmlui/handle/108/22008",,,,"Autonomous reconnaissance sonde, and method for deployment thereof",,
"016de903-f707-4a03-a952-d6e1637f7fca","108/33",,"US3721847(A)||Tokyo Shibaura Electric Co. Ltd.","2021-05-18T09:16:58Z","2016-12-02T09:58:33Z","2021-05-18T09:16:58Z","2016-12-02T09:58:33Z",,"1973-03-20","Made available in DSpace on 2016-12-02T09:58:33Z (GMT). No. of bitstreams: 1
us3721847(a).pdf: 390202 bytes, checksum: ad182abad54b4cf70c5275e6d315975d (MD5)
  Previous issue date: 1973-03-20||Made available in DSpace on 2021-05-18T09:16:58Z (GMT). No. of bitstreams: 1
us3721847(a).pdf: 390202 bytes, checksum: ad182abad54b4cf70c5275e6d315975d (MD5)
  Previous issue date: 1973-03-20","http://localhost:8080/xmlui/handle/108/22507",,,,"APPARATUS FOR PRODUCING X-RAYS FROM AN ELECTRIC INSULATOR (TIRC 16132)",,
"0191d200-298d-4244-ab83-fc840b3d1624","108/33",,"US5131602A||NotAvailable","2021-05-18T09:08:28Z","2016-12-02T09:58:06Z","2021-05-18T09:08:28Z","2016-12-02T09:58:06Z",,"1992-07-21","Made available in DSpace on 2016-12-02T09:58:06Z (GMT). No. of bitstreams: 1
us5131602a.pdf: 625954 bytes, checksum: 7860144ef665f397023af03456a00051 (MD5)
  Previous issue date: 1992-07-21||Made available in DSpace on 2021-05-18T09:08:28Z (GMT). No. of bitstreams: 1
us5131602a.pdf: 625954 bytes, checksum: 7860144ef665f397023af03456a00051 (MD5)
  Previous issue date: 1992-07-21","http://localhost:8080/xmlui/handle/108/22119",,,,"Apparatus and method for remote guidance of cannon-launched projectiles",,
"019f3a2b-d438-4a1c-81de-afe452b424d8","108/33",,"US4703290(A)||Siemens Aktiengesellschaft","2021-05-18T09:21:07Z","2016-12-02T09:58:46Z","2021-05-18T09:21:07Z","2016-12-02T09:58:46Z",,"1987-10-27","Made available in DSpace on 2016-12-02T09:58:46Z (GMT). No. of bitstreams: 1
us4703290(a).pdf: 288391 bytes, checksum: c45e13286a59abfd5000396b42082aca (MD5)
  Previous issue date: 1987-10-27||Made available in DSpace on 2021-05-18T09:21:07Z (GMT). No. of bitstreams: 1
us4703290(a).pdf: 288391 bytes, checksum: c45e13286a59abfd5000396b42082aca (MD5)
  Previous issue date: 1987-10-27","http://localhost:8080/xmlui/handle/108/22683",,,,"Acoustic wave filter (TIRC 16676)",,
"01e29127-3973-4d0b-acb8-e317d029074b","108/33",,"US3299713(A)||STROHLEIN  &  CO","2021-05-18T09:19:14Z","2016-12-02T09:58:39Z","2021-05-18T09:19:14Z","2016-12-02T09:58:39Z",,"1967-01-24","Made available in DSpace on 2016-12-02T09:58:39Z (GMT). No. of bitstreams: 1
us3299713(a).pdf: 385265 bytes, checksum: 7cb4fa71f84cebb13f878e538b56c113 (MD5)
  Previous issue date: 1967-01-24||Made available in DSpace on 2021-05-18T09:19:14Z (GMT). No. of bitstreams: 1
us3299713(a).pdf: 385265 bytes, checksum: 7cb4fa71f84cebb13f878e538b56c113 (MD5)
  Previous issue date: 1967-01-24","http://localhost:8080/xmlui/handle/108/22586",,,,"Method and apparatus for determining the surface area of finely divided substances bygas adsorption (TIRC 7076)",,
