,id,dc.contributor.author[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.title[],dc.title[en_US],MyTitle
0,00134ca5-d28f-44ac-92ca-931c3ebb73af,IEEE Std 1031  : 2000,2000.0,"Made available in DSpace on 2017-02-23T06:07:00Z (GMT). No. of bitstreams: 1
1031-2000.pdf: 746009 bytes, checksum: 04d0b99a28e3a1e71b40efb57419d55e (MD5)
  Previous issue date: 2000||Made available in DSpace on 2021-05-05T08:51:59Z (GMT). No. of bitstreams: 1
1031-2000.pdf: 746009 bytes, checksum: 04d0b99a28e3a1e71b40efb57419d55e (MD5)
  Previous issue date: 2000",http://localhost:8080/xmlui/handle/108/125021,Guide for the Functional Specification of Transmission Static Var Compensators,,Guide for the Functional Specification of Transmission Static Var Compensators
1,00377e72-5dd2-447c-87ec-174f2f68c4fa,IEEE Std 1546  : 2000,2000.0,"Made available in DSpace on 2017-02-23T06:07:16Z (GMT). No. of bitstreams: 1
1546-2000.pdf: 392194 bytes, checksum: 21e5e2bd562e89f9be722c85181e9434 (MD5)
  Previous issue date: 2000||Made available in DSpace on 2021-05-05T08:54:42Z (GMT). No. of bitstreams: 1
1546-2000.pdf: 392194 bytes, checksum: 21e5e2bd562e89f9be722c85181e9434 (MD5)
  Previous issue date: 2000",http://localhost:8080/xmlui/handle/108/125166,Guide for digital test interchange format (DTIF) application,,Guide for digital test interchange format (DTIF) application
2,006ac2cd-9406-4325-adb5-f70519c00045,IEEE Std C2  : 2007,2007.0,"Made available in DSpace on 2017-02-23T06:01:23Z (GMT). No. of bitstreams: 1
c2-2007.pdf: 5083198 bytes, checksum: 178a75cc19269ea73c69a73c7bce3031 (MD5)
  Previous issue date: 2007||Made available in DSpace on 2021-05-05T08:44:52Z (GMT). No. of bitstreams: 1
c2-2007.pdf: 5083198 bytes, checksum: 178a75cc19269ea73c69a73c7bce3031 (MD5)
  Previous issue date: 2007",http://localhost:8080/xmlui/handle/108/124677,National Electrical Safety Code 2007 Edition,,National Electrical Safety Code 2007 Edition
3,00cd94f3-a547-4f83-a0e2-a3299ca6f7ae,IEEE Std 802.3bd -2011,2011.0,"Made available in DSpace on 2017-02-23T06:00:47Z (GMT). No. of bitstreams: 1
5982058.pdf: 462903 bytes, checksum: 0b53351313d18e8393c221f5926179b7 (MD5)
  Previous issue date: 2011||Made available in DSpace on 2021-05-05T08:40:44Z (GMT). No. of bitstreams: 1
5982058.pdf: 462903 bytes, checksum: 0b53351313d18e8393c221f5926179b7 (MD5)
  Previous issue date: 2011",http://localhost:8080/xmlui/handle/108/124348,MAC Control Frame for Priority-based Flow Control,,MAC Control Frame for Priority-based Flow Control
5,7285b5ba-7eb6-4f9c-a8a5-5243248dc0b5,"IEEE Std 802.3bd-2011, Amendment 8",2011.0,"Made available in DSpace on 2017-02-23T06:07:25Z (GMT). No. of bitstreams: 1
5982058.pdf: 462903 bytes, checksum: 0b53351313d18e8393c221f5926179b7 (MD5)
  Previous issue date: 2011||Made available in DSpace on 2021-05-05T08:57:09Z (GMT). No. of bitstreams: 1
5982058.pdf: 462903 bytes, checksum: 0b53351313d18e8393c221f5926179b7 (MD5)
  Previous issue date: 2011",http://localhost:8080/xmlui/handle/108/125258,MAC Control Frame for Priority-based Flow Control,,MAC Control Frame for Priority-based Flow Control
7,00f76130-2f1a-4776-b313-309dbb653d29,IEEE Std 802.1X  : 2004,2004.0,"Made available in DSpace on 2017-02-23T06:06:48Z (GMT). No. of bitstreams: 1
802.1x-2004.pdf: 1107102 bytes, checksum: 48ebc0662d7ada1a9233a5282be23862 (MD5)
  Previous issue date: 2004||Made available in DSpace on 2021-05-05T08:49:29Z (GMT). No. of bitstreams: 1
802.1x-2004.pdf: 1107102 bytes, checksum: 48ebc0662d7ada1a9233a5282be23862 (MD5)
  Previous issue date: 2004",http://localhost:8080/xmlui/handle/108/124914,Standard for Local and metropolitan area networks Port-Based Network Access Control,,Standard for Local and metropolitan area networks Port-Based Network Access Control
8,00f9e191-9b9f-423d-aee0-cac6196091dd,IEEE Std C57.12.01  : 2005,2005.0,"Made available in DSpace on 2017-02-23T06:01:03Z (GMT). No. of bitstreams: 1
c57.12.01-2005.pdf: 1767801 bytes, checksum: 7bdc9521dbfda15225e08be09a02d06d (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-05-05T08:42:08Z (GMT). No. of bitstreams: 1
c57.12.01-2005.pdf: 1767801 bytes, checksum: 7bdc9521dbfda15225e08be09a02d06d (MD5)
  Previous issue date: 2005",http://localhost:8080/xmlui/handle/108/124492,"Standard General Requirements for Dry-Type Distribution and Power Transformers, Including Those with Solid-Cast and/or Resin Encapsulated Windings",,"Standard General Requirements for Dry-Type Distribution and Power Transformers, Including Those with Solid-Cast and/or Resin Encapsulated Windings"
9,013a4aa5-6d5b-4273-a658-1b9b95bf8619,IEEE Std C57.12.80  : 2002,2002.0,"Made available in DSpace on 2017-02-23T06:00:42Z (GMT). No. of bitstreams: 1
c57.12.80-2002.pdf: 325159 bytes, checksum: ecb11abe2a3df13e8526dbd423fb5b31 (MD5)
  Previous issue date: 2002||Made available in DSpace on 2021-05-05T08:52:04Z (GMT). No. of bitstreams: 1
c57.12.80-2002.pdf: 325159 bytes, checksum: ecb11abe2a3df13e8526dbd423fb5b31 (MD5)
  Previous issue date: 2002",http://localhost:8080/xmlui/handle/108/124308,Standard terminology for power and distribution transformers,,Standard terminology for power and distribution transformers
10,015101bc-9cf6-4db9-adae-c6a67ead9a06,ANSI C95.1  : 2005,2005.0,"Made available in DSpace on 2017-02-23T06:00:57Z (GMT). No. of bitstreams: 1
c95.1-2005.pdf: 2759054 bytes, checksum: 355abb5ce96161bb0cc7bc8024db8833 (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-05-05T08:41:26Z (GMT). No. of bitstreams: 1
c95.1-2005.pdf: 2759054 bytes, checksum: 355abb5ce96161bb0cc7bc8024db8833 (MD5)
  Previous issue date: 2005",http://localhost:8080/xmlui/handle/108/124433,"Standard for Safety Levels with Respect to Human Exposure to Radio Frequency Electromagnetic Fields, 3 kHz to 300 GHz",,"Standard for Safety Levels with Respect to Human Exposure to Radio Frequency Electromagnetic Fields, 3 kHz to 300 GHz"
11,015fea17-aa68-471a-8e96-59c1205b6ea2,IEEE Std 1512.2  : 2004,2004.0,"Made available in DSpace on 2017-02-23T06:07:18Z (GMT). No. of bitstreams: 1
1512.2-2004.pdf: 1501252 bytes, checksum: aa0e1b639a110f11b36df982e54b7dc6 (MD5)
  Previous issue date: 2004||Made available in DSpace on 2021-05-05T08:55:08Z (GMT). No. of bitstreams: 1
1512.2-2004.pdf: 1501252 bytes, checksum: aa0e1b639a110f11b36df982e54b7dc6 (MD5)
  Previous issue date: 2004",http://localhost:8080/xmlui/handle/108/125189,Standard for Public Safety Traffic Incident Management Message Sets for Use by Emergency Management Centers,,Standard for Public Safety Traffic Incident Management Message Sets for Use by Emergency Management Centers
