id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.publisher[en_US],dc.subject[],dc.title[],dc.title[en_US]
"bc492021-b46f-4769-a8ef-d552967f7882","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Modeling and Computer Aided Process Design for Bulk Forming","2021-05-11T09:02:42Z","2016-12-06T04:03:40Z","2021-05-11T09:02:42Z","2016-12-06T04:03:40Z","2010","Made available in DSpace on 2016-12-06T04:03:40Z (GMT). No. of bitstreams: 1
asmhba0004024.pdf: 1039398 bytes, checksum: 2949ccb3ae370accec8f0d32b283b3ae (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:42Z (GMT). No. of bitstreams: 1
asmhba0004024.pdf: 1039398 bytes, checksum: 2949ccb3ae370accec8f0d32b283b3ae (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/33038",,"ASM HB Volume 14A||Modeling and Computer Aided Process Design for Bulk Forming","Rapid Tooling for Forging Dies",
"b5b0c882-8286-4f74-b9a0-1feaa07d4c37","108/22","ASM HB Volume 16 : Machining : Nontraditional Machining Processes","2021-05-11T09:02:42Z","2016-12-06T04:03:41Z","2021-05-11T09:02:42Z","2016-12-06T04:03:41Z","2010","Made available in DSpace on 2016-12-06T04:03:41Z (GMT). No. of bitstreams: 1
asmhba0002162.pdf: 363371 bytes, checksum: ffa34e54136c8a3a3bcdfc06b81c71f9 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:42Z (GMT). No. of bitstreams: 1
asmhba0002162.pdf: 363371 bytes, checksum: ffa34e54136c8a3a3bcdfc06b81c71f9 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/33047",,"ASM HB Volume 16||Nontraditional Machining Processes","Electrochemical Discharge Grinding",
"11fc964f-8bb6-47a6-86c5-b2640718ddc3","108/22","ASM HB Volume 6 : Welding, Brazing, and Soldering : Joint Evaluation and Quality Control","2021-05-11T09:02:42Z","2016-12-06T04:03:50Z","2021-05-11T09:02:42Z","2016-12-06T04:03:50Z","2010","Made available in DSpace on 2016-12-06T04:03:50Z (GMT). No. of bitstreams: 1
asmhba0001474.pdf: 575560 bytes, checksum: 753fba20c2949437ac017367d9543518 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:42Z (GMT). No. of bitstreams: 1
asmhba0001474.pdf: 575560 bytes, checksum: 753fba20c2949437ac017367d9543518 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/33137",,"ASM HB Volume 6||Joint Evaluation and Quality Control","Weld Procedure Qualification",
"337cd634-c9a0-47a0-ba3a-59ae8d752efb","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Cast Irons","2021-05-11T09:02:42Z","2016-12-06T04:04:59Z","2021-05-11T09:02:42Z","2016-12-06T04:04:59Z","2010","Made available in DSpace on 2016-12-06T04:04:59Z (GMT). No. of bitstreams: 1
asmhba0001001.pdf: 1360610 bytes, checksum: 1ab7990a7dc6a7082cd16845d80b02ae (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:42Z (GMT). No. of bitstreams: 1
asmhba0001001.pdf: 1360610 bytes, checksum: 1ab7990a7dc6a7082cd16845d80b02ae (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34013",,"ASM HB Volume 1||Cast Irons","Classification and Basic Metallurgy of Cast Iron",
"fdc74529-1378-4a77-b996-c44d0e2d512c","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Carbon and Low-Alloy Steels","2021-05-11T09:02:43Z","2016-12-06T04:04:59Z","2021-05-11T09:02:43Z","2016-12-06T04:04:59Z","2010","Made available in DSpace on 2016-12-06T04:04:59Z (GMT). No. of bitstreams: 1
asmhba0001012.pdf: 1527701 bytes, checksum: 9e4fabded5c85131cec4c9fc352b73f1 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:43Z (GMT). No. of bitstreams: 1
asmhba0001012.pdf: 1527701 bytes, checksum: 9e4fabded5c85131cec4c9fc352b73f1 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34014",,"ASM HB Volume 1||Carbon and Low-Alloy Steels","Precoated Steel Sheet",
"c3580fdb-2eae-4510-b2d2-d8a2b7fed4d8","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Other Bulk Forming Processes","2021-05-11T09:02:43Z","2016-12-06T04:04:59Z","2021-05-11T09:02:43Z","2016-12-06T04:04:59Z","2010","Made available in DSpace on 2016-12-06T04:04:59Z (GMT). No. of bitstreams: 1
asmhba0004010.pdf: 1670727 bytes, checksum: 0bffd096c59908007f13f5790267fa36 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:43Z (GMT). No. of bitstreams: 1
asmhba0004010.pdf: 1670727 bytes, checksum: 0bffd096c59908007f13f5790267fa36 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34015",,"ASM HB Volume 14A||Other Bulk Forming Processes","Roll Forming of Axially Symmetric Components",
"7e24a80e-f019-4dac-bccf-6ed72166b803","108/22","ASM Handbook Volume 3 : Alloy Phase Diagrams  : Binary Phase Diagrams","2021-05-11T09:02:43Z","2016-12-06T04:04:59Z","2021-05-11T09:02:43Z","2016-12-06T04:04:59Z","2010","Made available in DSpace on 2016-12-06T04:04:59Z (GMT). No. of bitstreams: 1
asmhba0000844.pdf: 150283 bytes, checksum: 10c9d33162855ae0a280758380558009 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:43Z (GMT). No. of bitstreams: 1
asmhba0000844.pdf: 150283 bytes, checksum: 10c9d33162855ae0a280758380558009 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34016",,"ASM HB Volume 3||Binary Phase Diagrams","Os (Osmium) Binary Alloy Phase Diagrams",
"75f32e82-b934-44ae-869e-c48bb508d975","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Fabrication Characteristics of Carbon and Low-Alloy Stee","2021-05-11T09:02:43Z","2016-12-06T04:04:59Z","2021-05-11T09:02:43Z","2016-12-06T04:04:59Z","2010","Made available in DSpace on 2016-12-06T04:04:59Z (GMT). No. of bitstreams: 1
asmhba0001032.pdf: 1309833 bytes, checksum: f6e60d202a0502a64f09fdb1ae576220 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:43Z (GMT). No. of bitstreams: 1
asmhba0001032.pdf: 1309833 bytes, checksum: f6e60d202a0502a64f09fdb1ae576220 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34017",,"ASM HB Volume 1||Fabrication Characteristics of Carbon and Low-Alloy Steels","Bulk Formability of Steels",
"7328bdfe-a87e-42f2-bdff-73f01d192bfe","108/22","ASM HB Volume 14A : Metalworking: Bulk Forming : Forging Processes","2021-05-11T09:02:43Z","2016-12-06T04:04:59Z","2021-05-11T09:02:43Z","2016-12-06T04:04:59Z","2010","Made available in DSpace on 2016-12-06T04:04:59Z (GMT). No. of bitstreams: 1
asmhba0003980.pdf: 2985970 bytes, checksum: bb2051308492e22a1c6341da75d892ac (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:43Z (GMT). No. of bitstreams: 1
asmhba0003980.pdf: 2985970 bytes, checksum: bb2051308492e22a1c6341da75d892ac (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34018",,"ASM HB Volume 14A||Forging Processes","Hot Upset Forging",
"c6da7705-d19c-4d7f-9ca0-0e92c2924ffc","108/22","ASM Handbook Volume 1: Properties and Selection: Irons, Steels, and High-Performance Alloys : Specialty Steels and Heat-Resistant Alloys","2021-05-11T09:02:43Z","2016-12-06T04:05:00Z","2021-05-11T09:02:43Z","2016-12-06T04:05:00Z","2010","Made available in DSpace on 2016-12-06T04:05:00Z (GMT). No. of bitstreams: 1
asmhba0001050.pdf: 1667451 bytes, checksum: 2e58cb9ab53d9eea7f14dd796f26afc7 (MD5)
  Previous issue date: 2010||Made available in DSpace on 2021-05-11T09:02:43Z (GMT). No. of bitstreams: 1
asmhba0001050.pdf: 1667451 bytes, checksum: 2e58cb9ab53d9eea7f14dd796f26afc7 (MD5)
  Previous issue date: 2010","http://localhost:8080/xmlui/handle/108/34026",,"ASM HB Volume 1||Specialty Steels and Heat-Resistant Alloys","Polycrystalline Cast Superalloys",
