id,collection,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued[],dc.description.provenance[en],dc.description.sponsorship[],dc.description[],dc.identifier.uri,dc.publisher[],dc.publisher[en_US],dc.source[],dc.subject[],dc.subject[en_US],dc.title.alternative[],dc.title[],dc.title[en_US],dc.type[]
"01250df2-1c89-4daa-84d5-83347a5a8d31","108/35",,"2021-05-18T04:27:19Z","2020-10-29T06:24:42Z","2021-05-18T04:27:19Z","2020-10-29T06:24:42Z","2020","Made available in DSpace on 2020-10-29T06:24:42Z (GMT). No. of bitstreams: 1
atags barrel burst.mp4: 25742621 bytes, checksum: c69f90f8b14c3c9696c3f7c920c0afbc (MD5)
  Previous issue date: 2020||Made available in DSpace on 2021-05-18T04:27:19Z (GMT). No. of bitstreams: 1
atags barrel burst.mp4: 25742621 bytes, checksum: c69f90f8b14c3c9696c3f7c920c0afbc (MD5)
  Previous issue date: 2020",,,"http://localhost:8080/xmlui/handle/108/174229","SlideInfo",,,"ATAGS||Barrel Burst||Artillery Gun||Ammunition||ArmaTube||ATAGS||MP4||25.7MB||00:04:03",,,"Why Did DRDO ATAGS Barrel Burst-",,
"032a2c02-c084-40ce-8840-ae082cc7db76","108/35",,"2021-05-18T04:27:56Z","2020-10-29T06:24:31Z","2021-05-18T04:27:56Z","2020-10-29T06:24:31Z","2009","Made available in DSpace on 2020-10-29T06:24:31Z (GMT). No. of bitstreams: 1
wheel flow forming.mp4: 7327046 bytes, checksum: c1370c91cff97b76c3fde96bfecd1e04 (MD5)
  Previous issue date: 2009||Made available in DSpace on 2021-05-18T04:27:56Z (GMT). No. of bitstreams: 1
wheel flow forming.mp4: 7327046 bytes, checksum: c1370c91cff97b76c3fde96bfecd1e04 (MD5)
  Previous issue date: 2009",,,"http://localhost:8080/xmlui/handle/108/174191","Global Metal Spinning Solutions",,,"Flow Forming||Spinning Machines||Metal Forming||ArmaTube||Flow Forming of Rocket Tube||MP4||7.3MB||00:02:27",,,"Wheel flow forming-spinning machines - Global Metal Spinning Solutions - DENN USA Metal Forming",,
"032fb56c-7968-4740-99e4-464f610fb70f","108/35",,"2021-05-18T04:27:42Z","2020-10-29T06:24:36Z","2021-05-18T04:27:42Z","2020-10-29T06:24:36Z","2017","Made available in DSpace on 2020-10-29T06:24:36Z (GMT). No. of bitstreams: 1
120 mm fsapds mk-ii ammunition.mp4: 5775307 bytes, checksum: c0d846089f74f999994d563fda83bf54 (MD5)
  Previous issue date: 2017||Made available in DSpace on 2021-05-18T04:27:42Z (GMT). No. of bitstreams: 1
120 mm fsapds mk-ii ammunition.mp4: 5775307 bytes, checksum: c0d846089f74f999994d563fda83bf54 (MD5)
  Previous issue date: 2017",,,"http://localhost:8080/xmlui/handle/108/174202","Indianarmy Fans Club",,,"121 MM FSAPDS MK-II||Tank Ammunition||Ammunition||Arjun Tank||ArmaTube||FSAPDS/Tank Ammunition||MP4||5.8MB||00:01:42",,,"120 mm FSAPDS Mk-II Ammunition Completed Successfully -Arjun tank ammunition",,
"03f7387a-ba78-4a19-94f3-4f66527cd5d2","108/35",,"2021-05-18T04:27:29Z","2020-10-29T06:24:39Z","2021-05-18T04:27:29Z","2020-10-29T06:24:39Z","2019","Made available in DSpace on 2020-10-29T06:24:39Z (GMT). No. of bitstreams: 1
rockets 101.mp4: 20664868 bytes, checksum: 75d807ec062abbb01a18cac37d00a775 (MD5)
  Previous issue date: 2019||Made available in DSpace on 2021-05-18T04:27:29Z (GMT). No. of bitstreams: 1
rockets 101.mp4: 20664868 bytes, checksum: 75d807ec062abbb01a18cac37d00a775 (MD5)
  Previous issue date: 2019",,,"http://localhost:8080/xmlui/handle/108/174219","National Geographic",,,"Rocket||Rocket Launch||Space||ArmaTube||Pinaka MLRS||MP4||20.7MB||00:05:31",,,"Rockets 101 - National Geographic",,
"0445b4b2-67f5-4241-8844-d275a33b5289","108/35",,"2021-05-18T04:28:21Z","2020-10-29T06:24:22Z","2021-05-18T04:28:21Z","2020-10-29T06:24:22Z","2019","Made available in DSpace on 2020-10-29T06:24:22Z (GMT). No. of bitstreams: 1
defence- excalibur artillery shell.mp4: 54174200 bytes, checksum: fc2afe46c8f6c0d281237275ca4a45ac (MD5)
  Previous issue date: 2019||Made available in DSpace on 2021-05-18T04:28:21Z (GMT). No. of bitstreams: 1
defence- excalibur artillery shell.mp4: 54174200 bytes, checksum: fc2afe46c8f6c0d281237275ca4a45ac (MD5)
  Previous issue date: 2019",,,"http://localhost:8080/xmlui/handle/108/174166","MyNation",,,"Artillery shell||Artillery Ammunition||Ammunition||Artillery||PGM||Precision Guided Munitions||Guided Ammunition||ArmaTube||Autonomous Weapons||MP4||54.2MB||00:03:33",,,"How's The Defence- Excalibur Artillery Shell",,
"04987a93-8a4f-46e5-850e-a92bc63d220f","108/35",,"2021-05-18T04:27:58Z","2020-10-29T06:24:43Z","2021-05-18T04:27:58Z","2020-10-29T06:24:43Z","2019","Made available in DSpace on 2020-10-29T06:24:43Z (GMT). No. of bitstreams: 1
atags breaks world record in burst mode.mp4: 6437400 bytes, checksum: 6214fd82143a6579d17ae86773e00308 (MD5)
  Previous issue date: 2019||Made available in DSpace on 2021-05-18T04:27:58Z (GMT). No. of bitstreams: 1
atags breaks world record in burst mode.mp4: 6437400 bytes, checksum: 6214fd82143a6579d17ae86773e00308 (MD5)
  Previous issue date: 2019",,,"http://localhost:8080/xmlui/handle/108/174234","The Defenstar",,,"ATAGS||Artillery Gun||Ammunition||ATAGS Firing||ArmaTube||ATAGS||MP4||6.4MB||00:01:52",,,"India's ATAGS Howitzer Breaks World Record In Burst Mode",,
"05bf8cfe-e8f6-4241-83aa-8aa53759476e","108/35",,"2021-05-18T04:27:30Z","2020-10-29T06:24:39Z","2021-05-18T04:27:30Z","2020-10-29T06:24:39Z","2019","Made available in DSpace on 2020-10-29T06:24:39Z (GMT). No. of bitstreams: 1
drdo successfully tests pinaka missile system.mp4: 5656548 bytes, checksum: 2e5e11d06bfc86f02277517602e81ff9 (MD5)
  Previous issue date: 2019||Made available in DSpace on 2021-05-18T04:27:30Z (GMT). No. of bitstreams: 1
drdo successfully tests pinaka missile system.mp4: 5656548 bytes, checksum: 2e5e11d06bfc86f02277517602e81ff9 (MD5)
  Previous issue date: 2019",,,"http://localhost:8080/xmlui/handle/108/174218","Hindustan Times",,,"Pinaka||Missile System||DRDO||ArmaTube||Pinaka MLRS||MP4||5.7MB||00:01:20",,,"Watch: DRDO successfully tests Pinaka Missile System",,
"09fbf250-faa3-46e9-9286-1e9dea8a4296","108/35",,"2021-05-18T04:27:36Z","2020-10-29T06:24:38Z","2021-05-18T04:27:36Z","2020-10-29T06:24:38Z","2018","Made available in DSpace on 2020-10-29T06:24:38Z (GMT). No. of bitstreams: 1
pakistan's new gps-guided mortars.mp4: 26748992 bytes, checksum: b889ffd68f303d1d07cb007a7054e70a (MD5)
  Previous issue date: 2018||Made available in DSpace on 2021-05-18T04:27:36Z (GMT). No. of bitstreams: 1
pakistan's new gps-guided mortars.mp4: 26748992 bytes, checksum: b889ffd68f303d1d07cb007a7054e70a (MD5)
  Previous issue date: 2018",,,"http://localhost:8080/xmlui/handle/108/174210","Defence Squad",,,"Guided Mortars||PAK's GPS||Precision attacks||PGM||Munition||Threat to Indian Army||GPS-enabled mortar||ArmaTube||Guided Artillery shell||MP4||26.7MB||00:05:01",,,"Pakistan's New GPS-Guided Mortars Threat To Indian Army Pakistan GPS Mortar To Target Indian Army",,
"0ac269c1-34a1-46e0-ac86-5188851c4e1f","108/35",,"2021-05-18T04:28:05Z","2020-10-29T06:24:28Z","2021-05-18T04:28:05Z","2020-10-29T06:24:28Z","2017","Made available in DSpace on 2020-10-29T06:24:28Z (GMT). No. of bitstreams: 1
the life of a gun barrel.mp4: 51595082 bytes, checksum: 30887b1a968b9a29ca739259111eb2aa (MD5)
  Previous issue date: 2017||Made available in DSpace on 2021-05-18T04:28:05Z (GMT). No. of bitstreams: 1
the life of a gun barrel.mp4: 51595082 bytes, checksum: 30887b1a968b9a29ca739259111eb2aa (MD5)
  Previous issue date: 2017",,,"http://localhost:8080/xmlui/handle/108/174181","Rated Red",,,"Gun Barrel||high-end gun barrels||ArmaTube||Autofrettage process for Gun Barrel||MP4||51.6MB||00:04:22",,,"From Start to Finish- The Life of a Gun Barrel",,
"119022fe-115a-4301-b60a-b9050425accf","108/35",,"2021-05-18T04:28:27Z","2020-10-29T06:24:21Z","2021-05-18T04:28:27Z","2020-10-29T06:24:21Z","2017","Made available in DSpace on 2020-10-29T06:24:21Z (GMT). No. of bitstreams: 1
autopsy- m445 time fuze.mp4: 333829852 bytes, checksum: 3d817a08c058ee648ffac988bed02c9e (MD5)
  Previous issue date: 2017||Made available in DSpace on 2021-05-18T04:28:27Z (GMT). No. of bitstreams: 1
autopsy- m445 time fuze.mp4: 333829852 bytes, checksum: 3d817a08c058ee648ffac988bed02c9e (MD5)
  Previous issue date: 2017",,,"http://localhost:8080/xmlui/handle/108/174160","Msylvain",,,"time fuze||ArmaTube||Course Correction Fuze||MP4||333.8MB||00:24:59",,,"Autopsy- M445 time fuze (used) from a M-26 cluster bombs rocket",,
