,id,dc.contributor.author[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.title[],dc.title[en_US],MyTitle
0,0035fac7-659c-4af6-a04c-3fd4be0b7f93,ARDE SPEC 120,1972.0,"Made available in DSpace on 2016-11-24T06:07:23Z (GMT). No. of bitstreams: 1
ss00157.pdf: 29457559 bytes, checksum: aef8a687c73a5801e21a9f847bc5b23f (MD5)
  Previous issue date: 1972||Made available in DSpace on 2021-06-08T06:48:13Z (GMT). No. of bitstreams: 1
ss00157.pdf: 29457559 bytes, checksum: aef8a687c73a5801e21a9f847bc5b23f (MD5)
  Previous issue date: 1972",http://localhost:8080/xmlui/handle/108/136,CARTRIDGE PHOTOFLASH 45MM NO.1 MK.1,,CARTRIDGE PHOTOFLASH 45MM NO.1 MK.1
2,7d59dc9c-8286-4d5d-8448-865e62ba4d8b,ARDE SPEC 119,1972.0,"Made available in DSpace on 2016-11-24T06:07:52Z (GMT). No. of bitstreams: 1
ss00156.pdf: 26183384 bytes, checksum: 0de835fa9c247f66786372760971d7e7 (MD5)
  Previous issue date: 1972||Made available in DSpace on 2021-06-08T06:50:16Z (GMT). No. of bitstreams: 1
ss00156.pdf: 26183384 bytes, checksum: 0de835fa9c247f66786372760971d7e7 (MD5)
  Previous issue date: 1972",http://localhost:8080/xmlui/handle/108/320,CARTRIDGE PHOTOFLASH 45MM NO.1 MK.1,,CARTRIDGE PHOTOFLASH 45MM NO.1 MK.1
4,003e380c-5752-4c63-908c-4d36828045fa,ARDE SPEC 133,1973.0,"Made available in DSpace on 2016-11-24T06:07:11Z (GMT). No. of bitstreams: 1
ss00166.pdf: 1522341 bytes, checksum: a2c5f89aa6bf96ea89a46df0bc025e0f (MD5)
  Previous issue date: 1973||Made available in DSpace on 2021-06-08T06:49:53Z (GMT). No. of bitstreams: 1
ss00166.pdf: 1522341 bytes, checksum: a2c5f89aa6bf96ea89a46df0bc025e0f (MD5)
  Previous issue date: 1973",http://localhost:8080/xmlui/handle/108/58,SIMULATOR 120MM MORTAR FIRE CH IV & VI FILLED,,SIMULATOR 120MM MORTAR FIRE CH IV & VI FILLED
5,00f0eff5-d298-4f60-9570-4f6e61db1092,ARDE SPEC 62,1969.0,"Made available in DSpace on 2016-11-24T06:08:19Z (GMT). No. of bitstreams: 1
ss00122.pdf: 2001590 bytes, checksum: 804e406107bb6a720d784a7768333700 (MD5)
  Previous issue date: 1969||Made available in DSpace on 2021-06-08T06:51:41Z (GMT). No. of bitstreams: 1
ss00122.pdf: 2001590 bytes, checksum: 804e406107bb6a720d784a7768333700 (MD5)
  Previous issue date: 1969",http://localhost:8080/xmlui/handle/108/496,DYE OIL SCARLET,,DYE OIL SCARLET
6,01304048-4922-4e14-b92a-c71c9282f0c6,ARDE PS 68,,"Made available in DSpace on 2016-11-24T06:08:12Z (GMT). No. of bitstreams: 1
ss00398.pdf: 12891244 bytes, checksum: b0ce6a43a4dfb457c7c4f81a122ccfb7 (MD5)||Made available in DSpace on 2021-06-08T06:50:19Z (GMT). No. of bitstreams: 1
ss00398.pdf: 12891244 bytes, checksum: b0ce6a43a4dfb457c7c4f81a122ccfb7 (MD5)",http://localhost:8080/xmlui/handle/108/455,TEST CAP FIRING MECHANISM NO.1 MK.1 ( 312K/15 ) FILLED,,TEST CAP FIRING MECHANISM NO.1 MK.1 ( 312K/15 ) FILLED
8,fba01214-2871-40fd-a454-e599fb1580e1,ARDE PS 68,,"Made available in DSpace on 2016-11-24T06:08:00Z (GMT). No. of bitstreams: 1
ss00397.pdf: 11265276 bytes, checksum: 91708b61342a38731008b991efc516c9 (MD5)||Made available in DSpace on 2021-06-08T06:50:57Z (GMT). No. of bitstreams: 1
ss00397.pdf: 11265276 bytes, checksum: 91708b61342a38731008b991efc516c9 (MD5)",http://localhost:8080/xmlui/handle/108/367,TEST CAP FIRING MECHANISM NO.1 MK.1 ( 312K/15 ) FILLED,,TEST CAP FIRING MECHANISM NO.1 MK.1 ( 312K/15 ) FILLED
10,023ecc64-98e6-4810-8668-09bea656b004,ARDE SPEC 299,,"Made available in DSpace on 2016-11-24T06:07:55Z (GMT). No. of bitstreams: 1
ss00311.pdf: 33206004 bytes, checksum: 2344b6e893b510a23c4f4f225f7e09fd (MD5)||Made available in DSpace on 2021-06-08T06:50:01Z (GMT). No. of bitstreams: 1
ss00311.pdf: 33206004 bytes, checksum: 2344b6e893b510a23c4f4f225f7e09fd (MD5)",http://localhost:8080/xmlui/handle/108/341,FLARE TRIP WIRE MK.II FILLED & FUZE MINE COMB M.605 MODIFIED FILLED,,FLARE TRIP WIRE MK.II FILLED & FUZE MINE COMB M.605 MODIFIED FILLED
11,02ce9e87-be9c-4582-9969-1b6929a24a19,ARDE PS 173,,"Made available in DSpace on 2016-11-24T06:07:24Z (GMT). No. of bitstreams: 1
ss00481.pdf: 12339653 bytes, checksum: c96675082781a96a9c03d52932a78c7f (MD5)||Made available in DSpace on 2021-06-08T06:48:07Z (GMT). No. of bitstreams: 1
ss00481.pdf: 12339653 bytes, checksum: c96675082781a96a9c03d52932a78c7f (MD5)",http://localhost:8080/xmlui/handle/108/142,FUZE VT 9A FOR AMMUNITION OQF 75/24 PACK HOWITZER EMPTY,,FUZE VT 9A FOR AMMUNITION OQF 75/24 PACK HOWITZER EMPTY
12,0369d48d-a729-4f4d-abe7-3e9b368c3a43,ARDE SPEC 264,,"Made available in DSpace on 2016-11-24T06:08:21Z (GMT). No. of bitstreams: 1
ss00284.pdf: 24900760 bytes, checksum: 9acae06d03afee948a3aead6ca713a77 (MD5)||Made available in DSpace on 2021-06-08T06:52:07Z (GMT). No. of bitstreams: 1
ss00284.pdf: 24900760 bytes, checksum: 9acae06d03afee948a3aead6ca713a77 (MD5)",http://localhost:8080/xmlui/handle/108/508,CARTRIDGE ELECTRIC OPERATING FIRE EXTINGUISHER 3 PIN NO.1 MK.3 EMPTY,,CARTRIDGE ELECTRIC OPERATING FIRE EXTINGUISHER 3 PIN NO.1 MK.3 EMPTY
14,782b7691-81c1-4bbd-af97-704586adf244,ARDE PS 123,,"Made available in DSpace on 2016-11-24T06:07:23Z (GMT). No. of bitstreams: 1
ss00449.pdf: 625550 bytes, checksum: 321167d1ee73ec473d1434e612b74582 (MD5)||Made available in DSpace on 2021-06-08T06:48:06Z (GMT). No. of bitstreams: 1
ss00449.pdf: 625550 bytes, checksum: 321167d1ee73ec473d1434e612b74582 (MD5)",http://localhost:8080/xmlui/handle/108/133,CARTRIDGE ELECTRIC OPERATING FIRE EXTINGUISHER 3 PIN NO.1 MK.3 EMPTY,,CARTRIDGE ELECTRIC OPERATING FIRE EXTINGUISHER 3 PIN NO.1 MK.3 EMPTY
