id,collection,dc.contributor.author[],dc.date.issued[],dc.description.abstract[en_US],dc.description[],dc.identifier.citation[],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[en_US],dc.title[],dc.title[en_US],dc.type[],dc.type[en_US]
3468,123456789/2749,,2011-04-05,,,,,http://hdl.handle.net/108/84623,http://128.9.32.51:8080/jspui/handle/108/84623,en,,University of Illions,,Battery||Power source||Electronic device||Digital memory,,,University Of Illinois Develop Technology That May Make Batteries 100 Times More Efficient,,Article,
3479,123456789/2749,"Shukla, Ajai",2014-11,,,"Business Standard, 23 Nov 2014",,http://hdl.handle.net/108/84613,http://128.9.32.51:8080/jspui/handle/108/84613,,,,,Artillery Gun||Artillery gun procurement||Defence Acquistion Council||ATAG programme,,,Parrikar starts artillery procurement; no sanction for buying more Pilatus trainers,,,
3447,123456789/2749,Express News,2011-05-12,,,"The Indian Express, Pune, 12 May 2011",,http://hdl.handle.net/108/84642,http://128.9.32.51:8080/jspui/handle/108/84642,en,,,,Military Power||India||Technology day||Saraswat,,,"Can do an Abbottabad, but it is against our values: Saraswat",,Article,
3462,123456789/2749,"Shukla, Ajai",2011-02-11,,,"Business Standards, 11 February 2011",,http://hdl.handle.net/108/84628,http://128.9.32.51:8080/jspui/handle/108/84628,en,,,,Combat Aircraft||MMRCA||Aero India||Defence deal,,,IAF chiefâ€™s googly on wrapping the MMRCA deals,,Article,
3500,123456789/2749,"Dutta, Ananya",2010-09-13,,"The Hindu, Chennai, 13 September 2010",,,http://hdl.handle.net/108/84594,http://128.9.32.51:8080/jspui/handle/108/84594,en,,,,DRDO||Agni-V||Missile programme,,,Saraswat: Agni-V will be test-fired in 2011,,Article,
3455,123456789/2749,"Shukla, Ajai",2011-03-07,,,"Business Standard, New Delhi, 7 March 2011",,http://hdl.handle.net/108/84635,http://128.9.32.51:8080/jspui/handle/108/84635,en,,,,Dhruv||Helicopter||DRDO,,,"In Siachen, Dhruv proves a world-beater",,Article,
3511,123456789/2749,,2010-05-26,,"The Hindu, New Delhi, 26 May 2010",,,http://hdl.handle.net/108/84584,http://128.9.32.51:8080/jspui/handle/108/84584,en,,,,Defence policy||DRDO,,,"Speed up defence research, deliver on time: Manmohan to scientists",,Article,
3474,123456789/2749,Times Now,2020-10-07,,,,,http://hdl.handle.net/108/173105,http://128.9.32.51:8080/jspui/handle/108/173105,,en_US,,:https://idrw.org/indian-defence-forces-considering-made-in-india-carbine-for-meetingurgent-requirements/,,Carbines||CQB,,,Indian defence forces considering â€˜Made in Indiaâ€™ carbine for meeting urgent requirements,,
3448,123456789/2749,"Banerjee, Ajay",2011-05-12,,,"The Tribune, 12 May 2011",,http://hdl.handle.net/108/84641,http://128.9.32.51:8080/jspui/handle/108/84641,en,,,,Bhishma||T-90||Tanks||Procurement,,,T-90 makeover: 'Bhishma'set to be more lethal,,Article,
3493,123456789/2749,,2012-08-13,,,,,http://hdl.handle.net/108/84600,http://128.9.32.51:8080/jspui/handle/108/84600,en,,"Financial Express, 24 July 2012",,Defence acquisition council||DAC||Offsets Management Agency||Offset Facilitation Agency,,,Amendments to Defence Offsets Policy cleared,,Article,
3484,123456789/2749,"Shukla, Ajai",2010-11-30,,,,,http://hdl.handle.net/108/84608,http://128.9.32.51:8080/jspui/handle/108/84608,en,,DRDO,,CL-20||HEMRL||DRDO||Explosives,,,DRDO reverse-engineers process to manufacture world's most powerful explosive,,Article,
3469,123456789/2749,,2012-03-29,,,Business Standard,,http://hdl.handle.net/108/84622,http://128.9.32.51:8080/jspui/handle/108/84622,en,,,,155mm Guns||155 mm artillery gun||45-calibre gun,,,Defexpo 2012: Kalyani Group artillery to be featured,,Article,
3440,123456789/2749,Task and Purpose,2020-10-19,,,,,http://hdl.handle.net/108/173117,http://128.9.32.51:8080/jspui/handle/108/173117,,,,Task and purpose.com,,TASS||Ratnik-3||Tactical Assault Light Operator Suit (TALOS),,,Russia just released footage of a brand new combat exoskeleton in action,,
3463,123456789/2749,ANI,2020-10-06,,,,,http://hdl.handle.net/108/173106,http://128.9.32.51:8080/jspui/handle/108/173106,,,,,,LMG||Sig-Sauer assault rifles,,,New lot of American-origin Sig-Sauer assault rifles to be for troops deployed on China border,,Article
3456,123456789/2749,"Shukla, Ajai",2011-03-06,,,"Business Standard, New Delhi, 6 March 2011",,http://hdl.handle.net/108/84634,http://128.9.32.51:8080/jspui/handle/108/84634,en,,,,ABM||Anti-Ballistic Missile||Interceptor Missile||Missile Defence System,,,DRDO successfully tests anti-ballistic missile (ABM) interceptor,,Article,
3449,123456789/2749,The Hindu,2015-01-15,,,"The Hindu,January 02, 2015.â€˜Make in Indiaâ€™ needs a new materials push: DRDO chief",,http://hdl.handle.net/108/84640,http://128.9.32.51:8080/jspui/handle/108/84640,,,The Hindu,,Materials||Materials development||Materials development life cycle||DRDO,,,â€˜Make in Indiaâ€™ needs a new materials push: DRDO chief,,Article,
3441,123456789/2749,ANI,2020-10-01,,,,,http://hdl.handle.net/108/173108,http://128.9.32.51:8080/jspui/handle/108/173108,,,,,,ATGM,,,India Test-Fires Laser-Guided Anti Tank Missile from MBT Arjun in Ahmednagar,,
3522,123456789/2749,,2010-06-10,,"The Hindu, Chennai, 10 June 2010",,,http://hdl.handle.net/108/84574,http://128.9.32.51:8080/jspui/handle/108/84574,en,,,,Bomb||Laser,,,Flight tests of laser-guided bombs tested,,Article,
3480,123456789/2749,"Shukla, Ajai",2010-10-07,,"Business Standard, New Delhi, 6 October 2010",,,http://hdl.handle.net/108/84612,http://128.9.32.51:8080/jspui/handle/108/84612,en,,,,Defence industries||DRDO,,,"Pvt sector to develop Rs 10,000 cr army communications network",,Article,
3457,123456789/2749,,2010-12-15,,"Frontline, 17 December 2010, pp.56-58",,,http://hdl.handle.net/108/84633,http://128.9.32.51:8080/jspui/handle/108/84633,en,,,,Defence deal||U.S.||Defence policy,,,Merchants of Death,,Article,
3450,123456789/2749,"Shukla, Ajai",2015-01-05,,,Shukla Ajai (jan 2015)Parrikar engages private defence industry to boost indigenous arms,,http://hdl.handle.net/108/84639,http://128.9.32.51:8080/jspui/handle/108/84639,,,Indian express,,Defence Production||Make category||MSME||Defence Industry||Private defence industry,,,Parrikar engages private defence industry to boost indigenous arms,,Article,
3442,123456789/2749,"Shukla, Ajai",2011,,,"The Bussiness Standered ,2012",,http://hdl.handle.net/108/84647,http://128.9.32.51:8080/jspui/handle/108/84647,,,,,MBT Arjun||FMBT,,,FMBT : Army dithers over futuristic tank DRDO pursues  engine (Part I),,Article,
3503,123456789/2749,"Shukla, Ajai",2010-07-27,,"Business Standard, New Delhi, 27 July 2010",,,http://hdl.handle.net/108/84591,http://128.9.32.51:8080/jspui/handle/108/84591,en,,,,Artillery weapon||155mm||Bofors,,,The Indian Artillery Project: An Indian journey sans Bofors baggage,,Article,
3464,123456789/2749,,2011-02-10,,,"The Times of India, 10 February 2011",,http://hdl.handle.net/108/84627,http://128.9.32.51:8080/jspui/handle/108/84627,en,,,,DRO||UK||Collaboration||DSTL,,,UK agency inks deal with DRDO,,Article,
3475,123456789/2749,,2011-03-17,,,"The Hindu, New Delhi 17 March 2011",,http://hdl.handle.net/108/84617,http://128.9.32.51:8080/jspui/handle/108/84617,en,,,,Nuclear||Radiation||Japan,,,How the nuclear plant crisis happened,,Article,
3470,123456789/2749,,2011-03-28,,,,,http://hdl.handle.net/108/84621,http://128.9.32.51:8080/jspui/handle/108/84621,en,,,,MRLS||Rockets||Tornados||Russia,,,Russian Army to get new Tornado-G Multiple Rocket Launching System (MRLS),,Article,
3443,123456789/2749,"Singh, Dipti",2015-01-05,,,"Singh Dipti (2015) Day 1: ISRO, DRDO stalls draw most crowd",,http://hdl.handle.net/108/84646,http://128.9.32.51:8080/jspui/handle/108/84646,,,Indian express,,Indian science congress||DRDO||Defence Exhibition,,,"Day 1: ISRO, DRDO stalls draw most crowd",,Article,
3451,123456789/2749,"Shukla, Ajai",2011-07-21,,,"Business Standard, New Delhi, 21 July 2011",,http://hdl.handle.net/108/84638,http://128.9.32.51:8080/jspui/handle/108/84638,en,,,,Prahaar||Surface to Surface||Missile||DRDO,,,`PRAHAARâ€™- NEW SURFACE TO SURFACE TACTICAL MISSILE SUCCESSFULLY LAUNCHED,,Article,
3489,123456789/2749,,2011-03-17,,,,,http://hdl.handle.net/108/84604,http://128.9.32.51:8080/jspui/handle/108/84604,en,,"AERB, India",,Nuclear||Non-Proliferation||Radiation awareness,,,AERB reviews safety in Indian nuclear power plants,,Article,
3458,123456789/2749,"Shukla, Ajai",2011-07-19,,,"Business Standard, New Delhi, 18 July 2011",,http://hdl.handle.net/108/84632,http://128.9.32.51:8080/jspui/handle/108/84632,en,,,,Defence Industries||PLA||China||India||DRDO,,,China's defence industry offers lessons to India,,Article,
3497,123456789/2749,,2010-05-14,,"The Hindu, New Delhi, 14 May 2010",,,http://hdl.handle.net/108/84597,http://128.9.32.51:8080/jspui/handle/108/84597,en,,,,Restructure||DRDO||Defence University||Defence Technology Commission,,,Revamp of DRDO planned to make it more accountable,,Article,
3444,123456789/2749,"Shukla, Ajai",2011-02-22,,,"Business Standard, New Delhi, 22 February 2011",,http://hdl.handle.net/108/84645,http://128.9.32.51:8080/jspui/handle/108/84645,en,,Business Standard,,LCA||ADA||DRDO||Tejas||Development cost,,,When a Sword Arm is Worth It,,Article,
3465,123456789/2749,,2011-02-10,,,"The Times of India, 10 February 2011",,http://hdl.handle.net/108/84626,http://128.9.32.51:8080/jspui/handle/108/84626,en,,,,LCA||Test||Shore-based,,,Shore-based test facility for LCA by 2012,,Article,
3452,123456789/2749,Tribune News Service,2020-10-06,,,,,http://hdl.handle.net/108/173107,http://128.9.32.51:8080/jspui/handle/108/173107,,,,,,Supersonic Missile Assisted Release of Torpedo (SMART)||SMART||Velocity Reduction Mechanism (VRM),,,"SMART, a â€˜game-changingâ€™ anti-submarine weapon, flight tested by DRDO",,Article
3485,123456789/2749,IDRW NEWS NETWORK,2020-10-09,,,,,http://hdl.handle.net/108/173104,http://128.9.32.51:8080/jspui/handle/108/173104,,en_US,,https://idrw.org/iaf-planning-to-procure-more-erj-145-based-netra-aewcs/#more-237286,,ERJ-145 based Netra AEW&CS||Netra||AEW&CS||ERJ-145,,,IAF planning to procure more ERJ-145 based Netra AEW&CS,,
3471,123456789/2749,"Shukla, Ajai",2011-02-12,,,"Business Standard, Bangalore, 12 Feb 2011",,http://hdl.handle.net/108/84620,http://128.9.32.51:8080/jspui/handle/108/84620,en,,,,India||US||LCA||Defence deal||Defence policy,,,"DRDO, US working on 30 high-tech projects",,Article,
3459,123456789/2749,,2011-05-16,,,,,http://hdl.handle.net/108/84631,http://128.9.32.51:8080/jspui/handle/108/84631,en,,Aviation Week,,MBT||Arjun Mk II||Armament||Air Defence Gun,,,Advanced Tank For India Ready For Testing,,Article,
3445,123456789/2749,"Shukla, Ajai",2012-08-13,,,,,http://hdl.handle.net/108/84644,http://128.9.32.51:8080/jspui/handle/108/84644,en,,"By Ajai Shukla New Delhi Friday, 10 August 2012",,Offset agency||The defence ministry||DOMW,,,"Defence ministry setting up new offset agency, starts hiring private consultants",,Article,
3481,123456789/2749,"Shukla, Ajai",2012-03-29,,,"Business Standard, New Delhi, 29 March 2012",,http://hdl.handle.net/108/84611,http://128.9.32.51:8080/jspui/handle/108/84611,en,,,,Defence Exhibition||DefExpo||India,,,Defexpo India 2012 kicks off today,,Article,
3476,123456789/2749,"Shukla, Ajai",2010-11-27,,"The Business Standard, Bangalore 27 November 2010",,,http://hdl.handle.net/108/84616,http://128.9.32.51:8080/jspui/handle/108/84616,en,,The Business Standard,,FIB||Fast Intercepter Boat||Costal security,,,BEL says new coastal surveillance system is ready,,Article,
3453,123456789/2749,"Shukla, Ajai",2011-05-13,,,"Business Standard, New Delhi, 13 May 2011",,http://hdl.handle.net/108/84637,http://128.9.32.51:8080/jspui/handle/108/84637,,,,,BAE System||155 mm||India||Defence procurement,,,BAE Systems rethinks decision on artillery contracts,,,
3446,123456789/2749,smartonline,2015-01-02,,,Smartonline 2 December 2015,,http://hdl.handle.net/108/84643,http://128.9.32.51:8080/jspui/handle/108/84643,,,The Hindu,,Material design||Materials development life cycle,,,"""Success of â€˜Make in Indiaâ€™ Hinges on Material Design""",,Article,
3466,123456789/2749,,2011-02-10,,,"The Times of India, 10 February 2011",,http://hdl.handle.net/108/84625,http://128.9.32.51:8080/jspui/handle/108/84625,en,,,,DRDO||Technology park||IIT||Madras,,,DRDO plans techno park in Chennai,,Article,
3513,123456789/2749,,2010-05-28,,"The Statesman, New Delhi, 28 May 2010",,,http://hdl.handle.net/108/84582,http://128.9.32.51:8080/jspui/handle/108/84582,en,,,,Defence policy||Defence technology,,,DRDO must be open to ideas,,Article,
3460,123456789/2749,,2011-03-03,,,,,http://hdl.handle.net/108/84630,http://128.9.32.51:8080/jspui/handle/108/84630,en,,,,Defence Budget||India||2011,,,Defence Budget-2011,,Article,
3494,123456789/2749,,2010-05-26,,"The Indian Express, New Delhi, 28 May 2010",,,http://hdl.handle.net/108/84599,http://128.9.32.51:8080/jspui/handle/108/84599,en,,,,DRDO||Blam game||Defence policy,,,DRDO alone not at fault says chief,,Article,
3472,123456789/2749,"Behra, Laxman K",2011-03-09,,,,,http://hdl.handle.net/108/84619,http://128.9.32.51:8080/jspui/handle/108/84619,en,,"Institute of Defence Studies and Analysis, New Delhi, India",,Defence Budget||India||2011-12||Budget Analysis,,,IDSA Comment on Indian Defence Budget 2011-12,,Article,
3454,123456789/2749,The Hindu,2014,,,"The Hindu,December 20, 2014.India tests glide bomb",,http://hdl.handle.net/108/84636,http://128.9.32.51:8080/jspui/handle/108/84636,en,,The Hindu,,glide bomb||navigation glide bomb,,,India tests glide bomb,,Article,
3506,123456789/2749,"Mohan, Vijay",2010-07-21,,"The Tribune, Chandigarh, 21 July 2010",,,http://hdl.handle.net/108/84588,http://128.9.32.51:8080/jspui/handle/108/84588,en,,,,TBRL||Grenade,,,Army orders 1 million pieces of grenade developed by DRDO's Chandigarh lab,,Article,
3467,123456789/2749,"Shukla, Ajai",2011-02-05,,,Business Standard,,http://hdl.handle.net/108/84624,http://128.9.32.51:8080/jspui/handle/108/84624,en,,,,Aero India 2011||TEJAS||LCA||India,,,Five Tejas fighters to light up Aero India,,Article,
3461,123456789/2749,The Hindu,2014-12,,,"The Hindu, 9 December 2014",,http://hdl.handle.net/108/84629,http://128.9.32.51:8080/jspui/handle/108/84629,en,,,,Pinaka||Pinaka Mk.II||Extended Pinaka||Pinaka Trial||Pinaka,,,Advanced Pinaka Mark-II rocket successfully test-fired,,Article,
3477,123456789/2749,"Shukla, Ajai",2010-11-10,,"The Business Standard, New Delhi, 10 November 2010",,,http://hdl.handle.net/108/84615,http://128.9.32.51:8080/jspui/handle/108/84615,en,,The Business Standard,,Defence policy||India||US,,,"In major shift, DRDO looks at building arms with America",,Article,
3490,123456789/2749,"Raghava, M",2010-10-11,,"The Hindu, Bangalore, 11 October 2010",,,http://hdl.handle.net/108/84603,http://128.9.32.51:8080/jspui/handle/108/84603,en,,,,S&T||Operating system||DRDO,,,Saraswat: DRDO working on India's own computer operating system,,Article,
3482,123456789/2749,"Shukla, Ajai",2010-09-27,,"Business Stnadard, New Delhi, 27th September 2010",,,http://hdl.handle.net/108/84610,http://128.9.32.51:8080/jspui/handle/108/84610,en,,,,NLW||Non lethal weapon,,,Agitating protestors are in for a shock,,Article,
3486,123456789/2749,"Shukla, Ajai",2011-03-16,,,,,http://hdl.handle.net/108/84607,http://128.9.32.51:8080/jspui/handle/108/84607,en,,,,Explosives||Detector||Bioexplorers,,,"Innovation Track: Detecting explosives at the click... er, sniff... of a mouse",,Article,
3501,123456789/2749,"Shukla, Ajai",2010-09-02,,"Business Standard, 2 September 2010, New Delhi",,,http://hdl.handle.net/108/84593,http://128.9.32.51:8080/jspui/handle/108/84593,en,,,,Defence policy||Navy,,,"N-subs: India debates, China struggles",,Article,
3478,123456789/2749,"Subramanian, T.S.",2010-10-04,,"The Hindu, Chennai, 4 October 2010",,,http://hdl.handle.net/108/84614,http://128.9.32.51:8080/jspui/handle/108/84614,en,,The Hindu,,FMBT||MBT||Ajeya||T-72||Tank,,,"1,500-horsepower FMBT to replace T-72 tanks beyond 2020",,Article,
3473,123456789/2749,"Naik, Ajay",2011-03-28,,,,,http://hdl.handle.net/108/84618,http://128.9.32.51:8080/jspui/handle/108/84618,en,,,,155mm||Artillery Gun||Infantry weapon,,,DRDO may field Indigenous 155-mm gun for the Indian Army by end of 2013,,Article,
3498,123456789/2749,"Ajai, Shukla",2010-09-09,,,,,http://hdl.handle.net/108/84596,http://128.9.32.51:8080/jspui/handle/108/84596,en,,,,Defence procurement||MoD||India,,,Frustrated global arms vendors write to Ministry of Defence,,Article,
3487,123456789/2749,"Shukla, Ajai",2010-11-23,,"The Business Standard, BEL Bangalore, 23 November 2010",,,http://hdl.handle.net/108/84606,http://128.9.32.51:8080/jspui/handle/108/84606,en,,Business Standard,,Akash||Missile,,,First Akash missile system to fill gap in air defence,,Article,
3495,123456789/2749,"Shukla, Ajai",2010-08-24,,,,,http://hdl.handle.net/108/84598,http://128.9.32.51:8080/jspui/handle/108/84598,en,,,,CAG||Defence Audit,,,Ajai Shukla: Does the CAG leak defence secrets?,,Article,
3491,123456789/2749,,2010-09-03,,,,,http://hdl.handle.net/108/84602,http://128.9.32.51:8080/jspui/handle/108/84602,en,,"PIB, New Delhi",,Defence cooperation||South Korea||India||DRDO,,,India and South Korea Sign two Landmark MoUs to Boost Defence Cooperation,,Article,
3515,123456789/2749,,2010-05-25,,"Press Trust Of India, New Delhi, 25 May 2010",,,http://hdl.handle.net/108/84580,http://128.9.32.51:8080/jspui/handle/108/84580,en,,,,Laser Weapon||DRDO,,,Army for laser-based weapons on its futuristic tanks,,Article,
3509,123456789/2749,,2010-05-28,,,,,http://hdl.handle.net/108/84586,http://128.9.32.51:8080/jspui/handle/108/84586,en,,,,DRDO scientists||Award,,,PM honours five Pune DRDO scientists,,Article,
3504,123456789/2749,"Shukla, Ajai",2010-08-23,,"Business Standard, New Delhi, 23 August 2010",,,http://hdl.handle.net/108/84590,http://128.9.32.51:8080/jspui/handle/108/84590,en,,,,155 mm||Indian gun,,,An Indian gun will bypass difficult trials,,Article,
3483,123456789/2749,"Shukla, Ajai",2014,,,"Business Standard, 21 August 2014",,http://hdl.handle.net/108/84609,http://128.9.32.51:8080/jspui/handle/108/84609,en,,,,DRDO Award||Prime Misiter Speech,,,Better innovation for the military: Modi to DRDO,,Article,
3502,123456789/2749,"Shukla, Ajai",2010-08-30,,"Business Standard, 30 August 2010, New Delhi",,,http://hdl.handle.net/108/84592,http://128.9.32.51:8080/jspui/handle/108/84592,en,,,,Defence policy||Navy,,,Navy torpedoes Indian private shipyards' role in new project,,Article,
3492,123456789/2749,"Shukla, Ajai",2010-08-31,,"Business Standard, 31 August 2010, New Delhi",,,http://hdl.handle.net/108/84601,http://128.9.32.51:8080/jspui/handle/108/84601,en,,,,Defence Policy||DRDO,,,Second Submarine line for Mazagon Dock,,Article,
3488,123456789/2749,"Shukla, Ajai",2010-09-21,,"Business Standard, New Delhi, 21 September 2010",,,http://hdl.handle.net/108/84605,http://128.9.32.51:8080/jspui/handle/108/84605,en,,,,Defence policy,,,Making warships happen,,Article,
3499,123456789/2749,"Shukla, Ajai",2010-09-15,,"Business Standard, 15 September 2010, New Delhi",,,http://hdl.handle.net/108/84595,http://128.9.32.51:8080/jspui/handle/108/84595,en,,,,Air Force||India,,,Air Force Network (AFNet) frees frequencies for telecom,,,
3524,123456789/2749,"Shukla, Ajai",2012-07-05,,,"Bussiness Standerds, Delhi, 5 July 2012",,http://hdl.handle.net/108/84572,http://128.9.32.51:8080/jspui/handle/108/84572,en,,,,Offset policy||Arms Vendors||Defence policy,,,Make offsets work,,Article,
3507,123456789/2749,The Week,2020-10-10,,,,,http://hdl.handle.net/108/173102,http://128.9.32.51:8080/jspui/handle/108/173102,,en_US,,:https://idrw.org/indias-missile-scientists-in-top-gear-with-six-successful-tests-in-five-weeks/ #more-237318,,MIssiles||HSTDV||RUDRAM,,,Indiaâ€™s missile scientists in top gear with six successful tests in five weeks,,
3512,123456789/2749,"Phadnis, Renuka",2010-06-03,,"Bangalor Mirror, Bangalore, 03 June 2010",,,http://hdl.handle.net/108/84583,http://128.9.32.51:8080/jspui/handle/108/84583,en,,,,Body Armour||Material||Bullet proof jacket,,,Armour of defence,,Article,
